qseqid,frequency
hypothetical protein Csp_D29610 [Curvibacter putative symbiont of Hydra magnipapillata],2
"hypothetical protein BSF34_21680, partial [Escherichia coli]",5
unnamed protein product [Sepia pharaonis],1
"hypothetical protein F947_00014, partial [Acinetobacter towneri DSM 14962 = CIP 107472]",1
hypothetical protein SAMN05192551_1273 [Tindallia magadiensis],1
hypothetical protein [Phyllobacterium myrsinacearum],2
"hypothetical protein Y001_00420, partial [Staphylococcus aureus MUF256]",2
"hypothetical protein HMPREF0693_3788, partial [Proteus mirabilis ATCC 29906]",2
"hypothetical protein, partial [Streptococcus parasanguinis]",2
hypothetical protein A4T41_23450 [Escherichia coli],2
hypothetical protein ECDEC6D_0252 [Escherichia coli DEC6D],1
hypothetical protein RAZWK3B_11306 [Roseobacter sp. AzwK-3b],1
"Uncharacterized protein APZ42_008836, partial [Daphnia magna]",4
conserved hypothetical protein [Burkholderia cenocepacia],2
putative uncharacterized protein [Azospirillum sp. CAG:260],1
Cell wall-associated hydrolase [Chromobacterium violaceum],1
hypothetical protein Csp_D29630 [Curvibacter putative symbiont of Hydra magnipapillata],1
hypothetical protein HMPREF9349_05396 [Escherichia coli MS 79-10],2
"hypothetical protein BTA15_24580, partial [Vibrio parahaemolyticus]",3
hypothetical protein NTHI1209_00003 [Haemophilus influenzae],2
hypothetical protein NTHI1209_00002 [Haemophilus influenzae],1
"hypothetical protein, partial [Bacillus mediterraneensis]",2
"hypothetical protein, partial [Coprococcus eutactus]",1
hypothetical protein CQA4T8M7_42260 [Sphaerotilus natans],1
hypothetical protein CRT22_10590 [Escherichia sp. E5028],2
"hypothetical protein DACRYDRAFT_51410, partial [Dacryopinax primogenitus]",2
hypothetical protein E1956_42610 (plasmid) [Paraburkholderia pallida],7
"conserved hypothetical protein, partial [Vibrio parahaemolyticus K5030]",1
"hypothetical protein AcdelDRAFT_2240, partial [Acidovorax delafieldii 2AN]",1
hypothetical protein FH972_027187 [Carpinus fangiana],1
"hypothetical protein SMU86_10552, partial [Streptococcus mutans U2A]",1
hypothetical protein Absy_048_002 [Acetobacter syzygii],1
hypothetical protein FORC28_1361 [Escherichia coli],2
conserved hypothetical protein [Xenorhabdus szentirmaii DSM 16338],1
glycogen synthase [Serratia nematodiphila DZ0503SBS1],1
hypothetical protein [Burkholderia contaminans],1
conserved hypothetical protein [Acinetobacter sp. 8I-beige],2
"hypothetical protein SK62_03847, partial [Enterobacter sp. BIDMC109]",1
"Putative uncharacterized protein, partial [Pararhodospirillum photometricum DSM 122]",1
hypothetical protein B566_EDAN018859 [Ephemera danica],1
hypothetical protein Lal_00015017 [Lupinus albus],3
"RNAase, partial [Lysinibacillus contaminans]",3
hypothetical protein GCM10008024_41150 [Allgaiera indica],1
hypothetical protein BMULJ_05092 [Burkholderia multivorans ATCC 17616],4
hypothetical protein APECO1_1785 [Escherichia coli APEC O1],2
RNAase [Staphylococcus aureus MUM270],1
putative serine acetyltransferase [Burkholderia mallei],1
hypothetical protein Lal_00001024 [Lupinus albus],3
"hypothetical protein A1YC_04685, partial [Escherichia coli KTE126]",1
unnamed protein product [Macaca fascicularis],1
hypothetical protein IST4131_06854 [Burkholderia cenocepacia],3
hypothetical protein [uncultured Rhizobiales bacterium HF4000_32B18],1
"unnamed protein product, partial [Pararhodospirillum photometricum DSM 122]",1
"hypothetical protein, partial [Bacillus thuringiensis]",1
MAG: hypothetical protein CBARDMAM_5813 [uncultured Caballeronia sp.],2
Uncharacterized protein TC_0114 [Curvibacter putative symbiont of Hydra magnipapillata],2
MAG: hypothetical protein COA44_15655 [Arcobacter sp.],1
"hypothetical protein, partial [Rhizobium sp. ASV8]",1
"hypothetical protein CBF86_07615, partial [Limosilactobacillus reuteri]",4
Uncharacterized protein {ECO:0000313|EMBL:EEH89636.1} [Pantoea ananatis],3
hypothetical protein Lal_00042759 [Lupinus albus],1
"uncharacterized protein GI527_G0003979, partial [Saccharomyces cerevisiae]",1
hypothetical protein DAPPUDRAFT_118838 [Daphnia pulex],1
Putative uncharacterized protein [Mesorhizobium loti],2
"hypothetical protein B989_01850, partial [Brucella sp. 56/94]",1
"ATP-binding protein, partial [Herbaspirillum sp. B65]",1
hypothetical protein CV740_00820 [Enterococcus faecium],2
Uncharacterised protein [Weissella viridescens],2
MAG: acetone carboxylase subunit alpha [Rhodocyclaceae bacterium],1
conserved hypothetical protein [Xanthomonas citri pv. citri],1
hypothetical protein GCM10010946_36720 [Undibacterium squillarum],3
hypothetical protein IV69_GL000657 [Weissella confusa],4
Uncharacterized protein APZ42_003108 [Daphnia magna],2
protein of unknown function [Legionella pneumophila subsp. pneumophila],1
hypothetical protein SKA34_17698 [Photobacterium sp. SKA34],1
hypothetical protein FPFC_051040 [Fructobacillus pseudoficulneus],1
"hypothetical protein KUM_1451, partial [Taylorella asinigenitalis 14/45]",1
hypothetical protein GCM10007290_40430 [Providencia thailandensis],2
"putative Flagellar basal-body rod protein flgC (proximal rod protein), partial [Escherichia coli ONT:H33 str. C48/93]",2
hypothetical protein DAPPUDRAFT_267663 [Daphnia pulex],1
hypothetical protein WEIDD23_02117 [Weissella sp. DD23],6
hypothetical protein F01_310057 [Burkholderia cenocepacia],1
hypothetical protein B566_EDAN011676 [Ephemera danica],1
"dehydration responsive protein, partial [Corchorus pseudo-olitorius]",1
hypothetical protein HanXRQr2_Chr06g0240721 [Helianthus annuus],1
"hypothetical protein AZZ92_004418, partial [Escherichia coli]",3
hypothetical protein [Phaffia rhodozyma],1
hypothetical protein CGSSp18BS74_00996 [Streptococcus pneumoniae SP18-BS74],1
hypothetical protein DP49_5430 [Burkholderia pseudomallei],1
hypothetical protein BVRB_042330 [Beta vulgaris subsp. vulgaris],1
PG1 protein [Bifidobacterium hapali],2
hypothetical protein A4T35_22435 [Escherichia coli],3
hypothetical protein CE425_25025 [Salmonella enterica subsp. enterica serovar Senftenberg],2
hypothetical protein [Escherichia coli],2
hypothetical protein APU01nite_24020 [Alkalibacterium putridalgicola],1
uncharacterized protein LOC124904409 [Homo sapiens],1
hypothetical protein GCM10007242_51510 [Pigmentiphaga litoralis],1
unnamed protein product [Allacma fusca],2
hypothetical protein BN2475_1150021 [Paraburkholderia ribeironis],1
hypothetical protein [uncultured bacterium],3
"cell wall-associated hydrolase, partial [Vibrio cholerae HC-43A1]",3
protein tar1 [Saccharomyces cerevisiae],3
MULTISPECIES: hypothetical protein [Gammaproteobacteria],1
"putative protein, partial [uncultured bacterium]",3
hypothetical protein GBS1219_1757 [Streptococcus agalactiae SS1219],1
Uncharacterized protein {ECO:0000313|EMBL:EUL48856.1} [Pantoea ananatis],1
hypothetical protein BVRB_036070 [Beta vulgaris subsp. vulgaris],1
conserved hypothetical protein [Yersinia pestis biovar Mediaevalis str. K1973002],1
"hypothetical protein CWB66_17895, partial [Pseudoalteromonas sp. S558]",1
Conserved hypothetical protein [Taylorella asinigenitalis 14/45],1
"hypothetical protein J473_3846, partial [Acinetobacter baumannii 1042969-1265]",1
hypothetical protein GCM10010946_36730 [Undibacterium squillarum],1
hypothetical protein PROSTU_01098 [Providencia stuartii ATCC 25827],5
Uncharacterised protein [[Ruminococcus] torques],1
SDR family oxidoreductase [Burkholderia contaminans],1
Hypothetical protein Tpal_2471 [Trichococcus palustris],3
Putative phage protein (fragment) [Weissella viridescens],2
hypothetical protein GGR53DRAFT_501865 [Hypoxylon sp. FL1150],1
phospholipase D-like domain-containing protein [Burkholderia contaminans],1
hypothetical protein KY49_7053 [Burkholderia sp. MSHR3999],3
hypothetical protein Csp_D29590 [Curvibacter putative symbiont of Hydra magnipapillata],1
hypothetical protein Maq22A_c00105 [Methylobacterium aquaticum],1
"hypothetical protein CMV_028003, partial [Castanea mollissima]",1
hypothetical protein BVRB_022340 [Beta vulgaris subsp. vulgaris],1
conserved hypothetical protein [Brucella suis bv. 4 str. 40],1
Transposase and inactivated derivatives [Legionella pneumophila],1
hypothetical protein AWU82_29790 [Pseudomonas glycinae],1
putative protein without homology [Lactobacillus crispatus ST1],3
"unnamed protein product, partial [Nymphaea colorata]",1
"hypothetical protein CTZ27_38775, partial [Streptomyces griseocarneus]",1
Quinone oxidoreductase [Escherichia coli O25b:H4],3
hypothetical protein IEQ34_023338 [Dendrobium chrysotoxum],1
hypothetical protein Lal_00013650 [Lupinus albus],1
hypothetical protein MTR_7g031847 [Medicago truncatula],5
RecName: Full=Putative uncharacterized protein YLR154W-B,1
protein of unknown function [Escherichia coli],2
hypothetical protein ATX51_09925 [Oenococcus oeni],1
"hypothetical protein HMPREF9610_00001, partial [Cutibacterium acnes HL027PA2]",1
hypothetical protein AA0243_0183 [Novacetimonas hansenii NRIC 0243],1
hypothetical protein CDA59_11640 [Bacillus subtilis],1
hypothetical protein H6P81_021539 [Aristolochia fimbriata],1
"hypothetical protein EGM_02092, partial [Macaca fascicularis]",1
MAG: hypothetical protein EKK33_32680 [Bradyrhizobiaceae bacterium],1
hypothetical protein POTG_04459 [Paenibacillus sp. oral taxon 786 str. D14],1
"hypothetical protein AZZ88_001851, partial [Escherichia coli]",1
"hypothetical protein, partial [Aliarcobacter cryaerophilus]",1
"hypothetical protein AZ038_003754, partial [Enterobacter hormaechei]",1
hypothetical protein Lal_00030835 [Lupinus albus],1
hypothetical protein WHE01_17600 [Weissella hellenica],1
hypothetical protein GCM10011357_38230 [Lacimicrobium alkaliphilum],1
"hypothetical protein J496_3968, partial [Acinetobacter baumannii 1247182]",1
MAG: hypothetical protein B6245_13290 [Desulfobacteraceae bacterium 4572_88],4
"hypothetical protein BVRB_041090, partial [Beta vulgaris subsp. vulgaris]",1
hypothetical protein DP49_5733 [Burkholderia pseudomallei],1
conserved hypothetical protein [Burkholderia cepacia],1
hypothetical protein B566_EDAN011677 [Ephemera danica],1
"LOW QUALITY PROTEIN: hypothetical protein HMPREF0996_01738, partial [Lachnospiraceae bacterium 5_1_63FAA]",1
"LOW QUALITY PROTEIN: conserved hypothetical protein, partial [Brucella sp. 83/13]",1
MAG: hypothetical protein COV34_00905 [Candidatus Zambryskibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_42_12],1
hypothetical protein LPLWJ_34090 [Lactiplantibacillus plantarum WJL],1
hypothetical protein SAMN05443582_1226 [Phyllobacterium sp. OV277],1
cell wall-associated hydrolase [uncultured bacterium],1
CDP-alcohol phosphatidyltransferase family protein [Phyllobacterium myrsinacearum],1
hypothetical protein ECDEC4F_5658 [Escherichia coli DEC4F],1
hypothetical protein [Weissella confusa],1
hypothetical protein Lal_00014923 [Lupinus albus],1
hypothetical protein PDE_06607 [Penicillium oxalicum 114-2],1
hypothetical protein F01_190074 [Burkholderia cenocepacia],2
hypothetical protein ADUPG1_003279 [Aduncisulcus paluster],1
RecName: Full=Putative uncharacterized protein ART2; AltName: Full=Antisense to ribosomal RNA transcript protein 2,1
MAG: hypothetical protein CFR70_13740 [Rhodocyclaceae bacterium],2
"hypothetical protein, partial [Burkholderia pseudomallei]",2
"hypothetical protein P168DRAFT_340506, partial [Aspergillus campestris IBT 28561]",1
hypothetical protein Lal_00013820 [Lupinus albus],1
Uncharacterised protein [Enterobacter cloacae],1
hypothetical protein CTI54_26565 [Klebsiella pneumoniae],1
putative histidine triad (HIT) protein [Sinorhizobium fredii NGR234],1
hypothetical protein D3I61_01780 [Escherichia coli],1
"hypothetical protein C3J82_28875, partial [Klebsiella pneumoniae subsp. pneumoniae]",1
hypothetical protein ALO82_102057 [Pseudomonas syringae pv. broussonetiae],2
hypothetical protein [Serratia symbiotica],1
conserved hypothetical protein [Burkholderia sp. 8Y],1
"hypothetical protein AZZ61_003373, partial [Klebsiella variicola]",1
hypothetical protein MPLB_1090003 [Mesorhizobium sp. ORS 3324],1
hypothetical protein EUBVEN_00514 [Eubacterium ventriosum ATCC 27560],1
hypothetical protein HMPREF0526_10001 [Lactobacillus jensenii JV-V16],1
hypothetical protein DSM25559_5477 [Agrobacterium rosae],1
Uncharacterised protein [Chlamydia trachomatis],1
unnamed protein product [Enterobius vermicularis],1
hypothetical protein CO650_31915 [Rhizobium phaseoli],1
Putative Uncharacterized protein [Avibacterium paragallinarum JF4211],1
hypothetical protein L1887_61928 [Cichorium endivia],1
hypothetical protein BMR85_025785 [Achromobacter sp. KAs 3-5],1
MAG: hypothetical protein ABA06_02290 [Parcubacteria bacterium C7867-001],1
transcriptional repressor NrdR [Phyllobacterium myrsinacearum],1
hypothetical protein KLMA_50540 [uncultured bacterium],1
MAG: hypothetical protein C4K60_02605 [Ideonella sp. MAG2],1
hypothetical protein N47_G38890 [uncultured Desulfobacterium sp.],2
hypothetical protein DFQ28_002345 [Apophysomyces sp. BC1034],1
hypothetical protein GCM10011331_26630 [Flavimobilis marinus],1
"hypothetical protein A13M_04453, partial [Escherichia coli KTE188]",1
hypothetical protein Lal_00001515 [Lupinus albus],1
hypothetical protein SETIT_J017000v2 [Setaria italica],1
Uncharacterised protein [Streptococcus pneumoniae],1
conserved hypothetical protein [Enterococcus faecalis T3],1
conserved hypothetical protein [Burkholderiales bacterium 8X],2
hypothetical protein CLF_113308 [Clonorchis sinensis],1
MULTISPECIES: hypothetical protein [Bacillota],1
hypothetical protein Lal_00008596 [Lupinus albus],1
hypothetical protein HMPREF0549_0166 [Limosilactobacillus vaginalis DSM 5837 = ATCC 49540],1
hypothetical protein BN164_2010001 [Clostridioides difficile T20],1
hypothetical protein [uncultured bacterium A1Q1_fos_4],2
MAG: hypothetical protein CM1200mP17_08440 [Woeseia sp.],1
conserved hypothetical protein [Brucella pinnipedialis M163/99/10],1
hypothetical protein C1645_133682 [Glomus cerebriforme],1
hypothetical protein MPLB_280082 [Mesorhizobium sp. ORS 3324],1
hypothetical protein Lal_00015036 [Lupinus albus],1
hypothetical protein CMV_025919 [Castanea mollissima],1
hypothetical protein MANES_S001308v8 [Manihot esculenta],1
conserved hypothetical protein [Listeria monocytogenes J2818],1
uncharacterized protein LOC117981721 isoform X1 [Pan paniscus],1
hypothetical protein Csp_D29550 [Curvibacter putative symbiont of Hydra magnipapillata],1
hypothetical protein DM46_5126 [Burkholderia mallei],1
"hypothetical protein AZZ99_004278, partial [Serratia marcescens]",2
conserved hypothetical protein [Agrobacterium genomosp. 2 str. CFBP 5494],1
hypothetical protein Lal_00014773 [Lupinus albus],1
NARF isoform 26 [Pan troglodytes],1
"putative alanine racemase 1, partial [Escherichia coli 178850]",1
hypothetical protein Lal_00046484 [Lupinus albus],1
hypothetical protein ECOK1357_4217 [Escherichia coli OK1357],1
unknown protein [Simkania negevensis Z],1
hypothetical protein HMPREF9574_00607 [Cutibacterium acnes HL074PA1],1
hypothetical protein HMPREF9544_00145 [Escherichia coli MS 153-1],1
hypothetical protein ECSTECB2F1_4404 [Escherichia coli O91:H21 str. B2F1],1
hypothetical protein HMPREF9439_01518 [Parasutterella excrementihominis YIT 11859],1
hypothetical protein SEET1153_23799 [Salmonella enterica subsp. enterica serovar Typhimurium str. CDC_2009K1153],1
PREDICTED: A-kinase anchor protein 13-like [Elephantulus edwardii],1
conserved hypothetical protein [Cupriavidus taiwanensis],1
hypothetical protein BBP11_10345 [Limosilactobacillus reuteri],1
