qseqid,frequency
"Uncultured bacterium clone F5K2Q4C04JMJF5 23S ribosomal RNA gene, partial sequence",7
"Uncultured bacterium clone FH-0-53 16S ribosomal RNA gene, partial sequence",5
"Salmonella enterica strain Y3 16S ribosomal RNA gene, partial sequence",1
"Weissella hellenica strain MBEL1842 chromosome, complete genome",106
"Weissella cibaria strain KH1006 16S ribosomal RNA gene, partial sequence",27
"Acidovorax sp. KKS102, complete genome",10
"Acinetobacter variabilis strain FDAARGOS_1487 chromosome, complete genome",6
Burkholderia dolosa strain FDAARGOS_1545 chromosome 1,29
"Burkholderia territorii strain BD11-27 16S ribosomal RNA gene, partial sequence",4
"Paracidovorax citrulli strain HPP21-3-3B chromosome, complete genome",38
"Homo sapiens small nucleolar RNA, C/D box 3B-1 (SNORD3B-1), small nucleolar RNA",3
MAG: Xanthobacteraceae bacterium isolate ACE_PRO9 chromosome,1
"Uncultured bacterium clone H-Con-E1-Org_219352 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone T(3F)14 16S ribosomal RNA gene, partial sequence",1
"Saccharomyces cerevisiae RGJ3 gene for 26S rRNA, partial sequence",19
"Polaromonas naphthalenivorans strain CJ2 23S ribosomal RNA gene, complete sequence",7
"Pan troglodytes BAC clone CH251-447H13 from chromosome 12, complete sequence",1
"Pseudosulfitobacter pseudonitzschiae strain MC36-1 chromosome, complete genome",4
"Homo sapiens haplogroup H3v+16093 mitochondrion, complete genome",93
"Aureimonas altamirensis strain C2P003 chromosome, complete genome",47
"Uncultured bacterium clone ncm02c12c1 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone Con74 16S ribosomal RNA gene, partial sequence",1
Gossypium hirsutum strain CNH 123 genomic sequence,5
"Burkholderia cenocepacia H111 chromosome 2, complete genome",30
"Chryseobacterium arthrosphaerae strain LMY chromosome, complete genome",7
"Chlamydomonas sp. CCMP233 strain CCMP 233 26S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04H5WHI 23S ribosomal RNA gene, partial sequence",3
"Escherichia coli strain 437024 chromosome, complete genome",11
"Bosea sp. (in: a-proteobacteria) strain DN1742 16S ribosomal RNA gene, partial sequence",5
"Uncultured bacterium partial 16S rRNA gene, clone EBP0168",11
"Aerococcus urinaeequi strain T43 chromosome, complete genome",3
"Phyllobacterium sp. 628 plasmid p_2, complete sequence",15
"Klebsiella michiganensis strain 8-1 chromosome, complete genome",294
"Uncultured bacterium clone b17 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone P14 16S ribosomal RNA gene, partial sequence; plastid",2
"Uncultured bacterium clone F5K2Q4C04IYFSF 23S ribosomal RNA gene, partial sequence",8
"Uncultured bacterium clone a43 16S ribosomal RNA gene, partial sequence",2
"Rhizobium ruizarguesonis strain TA1 chromosome, complete genome",16
"Leptothrix cholodnii strain SP-6 23S ribosomal RNA gene, complete sequence",18
"Escherichia coli strain 429692 chromosome, complete genome",2
Heyndrickxia sporothermodurans strain DSM 10599 chromosome,1
"Uncultured eukaryote clone F5K2Q4C04JHRSN 28S ribosomal RNA gene, partial sequence",1
"Homo sapiens chromosome 5 clone RP11-546L14, complete sequence",1
Xanthobacter autotrophicus strain GJ10 chromosome,17
"Homo sapiens chromosome 1 clone RP11-298P9, complete sequence",1
"Leptothrix cholodnii SP-6 chromosome, complete genome",2
"Priestia aryabhattai strain NM1_A2 plasmid unnamed2, complete sequence",1
"Psychrobacillus sp. INOP01 chromosome, complete genome",3
"Acidovorax radicis strain 79 chromosome, complete genome",57
"Shigella flexneri 3a strain 888048 chromosome, complete genome",1
"Herbaspirillum putei strain 7-2 23S ribosomal RNA gene, partial sequence",6
"Uncultured bacterium clone D7_80 16S ribosomal RNA gene, partial sequence",5
"Uncultured bacterium clone nck331g12c1 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone MD20 16S ribosomal RNA gene, partial sequence",3
"Uncultured bacterium clone PS_Site3_LRC-2 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",20
"Uncultured bacterium clone ncd328d04c1 16S ribosomal RNA gene, partial sequence",7
"Uncultured bacterium clone F5K2Q4C04H6CJC 23S ribosomal RNA gene, partial sequence",6
Serratia plymuthica strain V4 genome,13
"Burkholderia ambifaria strain B21-004 chromosome 1, complete sequence",38
"Uncultured Rhizobiales bacterium clone E146F08 16S ribosomal RNA gene, partial sequence",1
"Phyllobacterium myrsinacearum strain IAM 13584 23S ribosomal RNA gene, partial sequence",23
"Uncultured bacterium clone SPf2-G12 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone s99 hrb2 gene cluster, complete sequence",9
"Uncultured bacterium clone G7DUZBG01BP94N 16S ribosomal RNA gene, partial sequence",1
"Alpha proteobacterium B279 16S ribosomal RNA, partial sequence",1
MAG: Paracoccaceae bacterium isolate ACE_PRO37 chromosome,13
"Weissella confusa strain F2S2 16S ribosomal RNA gene, partial sequence",2
"Homo sapiens BAC clone CH17-270A2 from chromosome 1, complete sequence",2
"Proteus mirabilis strain PM1162 chromosome, complete genome",5
Homo sapiens isolate CHM13 chromosome 15,11
"Uncultured bacterium clone 701138 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1
"Uncultured Sphingobacteriaceae bacterium clone 6080 16S ribosomal RNA gene, partial sequence",1
"Uncultured prokaryote gene for 16S rRNA, partial sequence, clone: NNCTHY7404",1
"Homo sapiens FOSMID clone ABC12-46356500E19 from chromosome 9, complete sequence",1
"Corynebacterium tuberculostearicum strain FDAARGOS_993 chromosome, complete genome",1
"Homo sapiens BAC clone RP11-350A24 from 7, complete sequence",1
"Comamonas testosteroni strain T5-67 chromosome, complete genome",2
"Bordetella holmesii strain ATCC 51541 23S ribosomal RNA gene, complete sequence",8
"Escherichia coli strain B16EC0481 chromosome, complete genome",10
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XIII,8
"Uncultured bacterium clone V6926 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",4
"Uncultured bacterium clone F5K2Q4C04IDC59 23S ribosomal RNA gene, partial sequence",2
"Bradyrhizobium septentrionale strain 1S1 chromosome, complete genome",19
"Uncultured bacterium clone L1002 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1
"Bacillus velezensis strain A4P130 chromosome, complete genome",20
"Pseudomonas aeruginosa strain TL1285 chromosome, complete genome",1
"Euglena splendens strain Michigan (MI) 47 large subunit ribosomal RNA gene, partial sequence",1
"Human DNA sequence from clone RP11-453B6 on chromosome 1, complete sequence",1
"Mesorhizobium sp. NBIMC_P2 16S ribosomal RNA, tRNA-Ile, tRNA-Ala, 23S ribosomal RNA, and 5S ribosomal RNA genes, complete sequence",1
"Pantoea agglomerans strain GIST-Out2 16S ribosomal RNA gene, partial sequence",1
"Serratia marcescens strain LVF3 chromosome, complete genome",11
"Aerococcus sp. strain voyaCJ11SC07 16S ribosomal RNA gene, partial sequence",1
"Dechloromonas denitrificans strain G6 chromosome, complete genome",7
Homo sapiens isolate CHM13 chromosome 20,12
"Homo sapiens cDNA FLJ46293 fis, clone TESTI4034495, highly similar to Homo sapiens Sad1 unc-84 domain protein 1 (SUN1)",1
"Variovorax paradoxus strain VAI-C chromosome, complete genome",1
"Ottowia testudinis strain 27C chromosome, complete genome",5
"PREDICTED: Macaca fascicularis UEV and lactate/malate dehyrogenase domains (UEVLD), transcript variant X13, mRNA",1
"Euglena limnophila strain ACOI 2674 large subunit ribosomal RNA gene, partial sequence",2
"Burkholderia thailandensis USAMRU Malaysia #20 chromosome 1, complete sequence",25
"Weissella confusa strain 19104 16S ribosomal RNA gene, partial sequence",1
"Escherichia coli strain C17EC0083 plasmid pC17EC0083-2, complete sequence",1
"Elizabethkingia anophelis strain SEA01 chromosome, complete genome",2
Vanrija pseudolonga isolate DUCC4014 chromosome 2,1
"Escherichia coli strain tcmA_3 chromosome, complete genome",1
"H.sapiens CpG island DNA genomic Mse1 fragment, clone 59f6, forward read cpg59f6.ft1a",1
"Human DNA sequence from clone RP11-363F12 on chromosome 6, complete sequence",1
Janthinobacterium sp. PLB04 chromosome,57
"Uncultured bacterium clone ncd2492f02c1 16S ribosomal RNA gene, partial sequence",2
"Burkholderia contaminans strain SCAID TST1-2021 (11/270) chromosome 1, complete sequence",44
"Escherichia coli strain B7A chromosome, complete genome",1
"Herbaspirillum seropedicae strain SmR1 23S ribosomal RNA gene, complete sequence",60
"Ferribacterium limneticum strain 132 chromosome, complete genome",17
"PREDICTED: Coregonus clupeaformis E3 ubiquitin-protein ligase TRIM39-like (LOC121538250), transcript variant X2, mRNA",1
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XV,17
"Human DNA sequence from clone ICI-29IB3 on chromosome X, complete sequence",1
"Salmonella enterica subsp. enterica serovar Indiana strain YZ21MCS4 chromosome, complete genome",23
"Uncultured bacterium clone F5K2Q4C04IAJ16 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04JEKWW 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone 4783561 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone LCB-10-167 16S ribosomal RNA gene, partial sequence",1
Kocuria rhizophila strain 28R2A-20 chromosome,4
"Collimonas pratensis strain MP-22 16S ribosomal RNA gene, partial sequence",12
Homo sapiens isolate CHM13 chromosome 22,37
"Vorticella sp. 4 JG-2011 clone 34 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",2
Homo sapiens isolate CHM13 chromosome 16,23
"Cryptococcus stepposus strain P25B002 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone T1S203F04 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone BITS_UBP1_W27 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",2
"Agrobacterium vitis strain F2/5 chromosome 2, complete sequence",2
"Chryseobacterium indologenes strain 742 chromosome, complete genome",15
"Uncultured bacterium clone F5K2Q4C04IPBHH 23S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone nbw1032h12c1 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04JEYRT 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone 44L-2 16S ribosomal RNA gene, partial sequence",3
"Uncultured bacterium clone nbu290h06c1 16S ribosomal RNA gene, partial sequence",1
"Uncultured marine bacterium clone FJ-SC76 16S ribosomal RNA gene, partial sequence",1
"Neotabrizicola shimadae strain N10 chromosome, complete genome",18
"Planococcus maritimus strain XJ11 chromosome, complete genome",4
"Avibacterium paragallinarum strain M chromosome, complete genome",1
"Rubrivivax gelatinosus strain IL144 23S ribosomal RNA gene, complete sequence",30
"Lactococcus lactis strain LAC460 chromosome, complete genome",2
Homo sapiens isolate CHM13 chromosome 19,25
"Pasteurella multocida strain IMT47951 chromosome, complete genome",2
"Sphingomonas aliaeris strain DH-S5 chromosome, complete genome",4
"Sinorhizobium meliloti strain RRI128 chromosome, complete genome",4
"Meles meles genome assembly, chromosome: 20",4
"Lactiplantibacillus plantarum strain ZW5 chromosome, complete genome",8
"Burkholderia contaminans strain SCAID TST1-2021 (11/270) chromosome 3, complete sequence",30
"Escherichia coli strain RHB38-C10 chromosome, complete genome",1
"Burkholderia rhizoxinica strain HKI 454 23S ribosomal RNA gene, complete sequence",3
"Homo sapiens BAC clone RP11-548H3 from 2, complete sequence",1
"Synthetic construct Homo sapiens clone ccsbBroadEn_10773 DDX11 gene, encodes complete protein",1
"Uncultured bacterium clone PS_Site2_3_LRC-1 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",8
"Homo sapiens tRNA-yW synthesizing protein 1 homolog (TYW1), RefSeqGene on chromosome 7",1
"Weissella confusa strain SM1 16S ribosomal RNA gene, partial sequence",63
Uncultured beta proteobacterium CBNPD1 BAC clone 578 genomic sequence,6
"Arabidopsis thaliana, partial genome",3
"Sphingomonas sp. strain GR2756 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone Z3 16S ribosomal RNA gene, partial sequence",5
"Homo sapiens chromosome 17 clone CH17-157L1, complete sequence",3
"Uncultured bacterium clone ncm50d08c1 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone 1103200821327 16S ribosomal RNA gene, partial sequence",1
"Niveibacterium microcysteis strain HC41 chromosome, complete genome",6
"uncultured fungus genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate consensus02521",1
Homo sapiens isolate CHM13 chromosome 17,64
"Rhodococcus globerulus strain D757 chromosome, complete genome",1
"Uncultured prokaryote gene for 16S rRNA, partial sequence, clone: NNCTHY7136",1
"Stenotrophomonas sp. 169 chromosome, complete genome",1
Uncultured bacterium HF0500_10F10 genomic sequence,2
"Uncultured cyanobacterium clone LW1m-3-5 16S ribosomal RNA gene, partial sequence",1
"Pararge aegeria genome assembly, chromosome: 15",1
"Uncultured bacterium clone F64Q2U401BP2OI 16S ribosomal RNA gene, partial sequence",4
"Methyloversatilis discipulorum strain S_WO.AB16.054 16S ribosomal RNA gene, partial sequence",21
"Chryseobacterium rhizoplanae strain XL97 chromosome, complete genome",3
"Uncultured bacterium clone D14_12 16S ribosomal RNA gene, partial sequence",1
"Trachelomonas bernardinensis strain ACOI 1103 large subunit ribosomal RNA gene, partial sequence",1
"Strombomonas ovalis strain S115 large subunit ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone p112 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04I9G1T 23S ribosomal RNA gene, partial sequence",5
Agrobacterium tumefaciens LBA4213 (Ach5) linear chromosome,9
"Uncultured fungus clone XD6 18S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone Pohang_WWTP_June.2005_873 16S ribosomal RNA gene, partial sequence",1
"Herbaspirillum sp. strain CNPSo 3985 16S ribosomal RNA gene, partial sequence",2
"Variovorax sp. strain 196_Variovo 16S ribosomal RNA gene, partial sequence",16
"Uncultured bacterium clone F5K2Q4C04H90HX 23S ribosomal RNA gene, partial sequence",18
"Gemmobacter fulva strain con5 plasmid p5, complete sequence",7
"Nais communis 28S ribosomal RNA gene, partial sequence",2
"Homo sapiens chromosome 15 clone VMRC53-276M3, complete sequence",1
"Telmatocola sphagniphila strain SP2T chromosome, complete genome",2
"Microvirgula sp. strain ST5M 16S ribosomal RNA gene, partial sequence",3
"Homo sapiens BAC clone CH17-3B23 from chromosome 1, complete sequence",1
"Hemiselmis andersenii chromosome 3, complete sequence; nucleomorph",1
"Homo sapiens RNA component of 7SK nuclear ribonucleoprotein (RN7SK), small nuclear RNA",2
"Castellaniella defragrans strain 65Phen 23S ribosomal RNA gene, complete sequence",10
"Uncultured bacterium clone F5K2Q4C04H7GNR 23S ribosomal RNA gene, partial sequence",4
"Escherichia coli strain A16EC0796 chromosome, complete genome",7
"Homo sapiens DNA, sequence_id: unplaced_0095",5
"Uncultured alpha proteobacterium clone B10 16S ribosomal RNA gene, partial sequence",2
"Bacterium EBAD25 23S ribosomal RNA gene, partial sequence",3
Homo sapiens 3 BAC RP11-373L8 (Roswell Park Cancer Institute Human BAC Library) complete sequence,1
"Homo sapiens cyclic AMP phosphoprotein, 19 kD, mRNA (cDNA clone MGC:5468 IMAGE:3451558), complete cds",1
"Chain A, 23S ribosomal RNA",1
"Paraburkholderia caribensis strain IAC-BECa88 chromosome 2, complete sequence",1
"Pseudomonas sp. CIP-10 plasmid unnamed3, complete sequence",1
"Homo sapiens isolate ESP0225 mitochondrion, complete genome",1
"Leuconostoc mesenteroides strain C7 16S ribosomal RNA gene, partial sequence",3
"Uncultured bacterium clone SL-0082 16S ribosomal RNA gene, partial sequence",1
"Falsirhodobacter sp. PG104 plasmid unnamed1, complete sequence",3
"Homo sapiens BAC clone RP11-125K7 from 11, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04J4VZS 23S ribosomal RNA gene, partial sequence",2
Homo sapiens chromosome 1 WGS contig WGS_CEU_AL732292.12_27941 genomic sequence,1
"Bacillus pumilus strain p2_E04 16S ribosomal RNA gene, partial sequence",1
"Ramlibacter tataouinensis strain TTB310 23S ribosomal RNA gene, complete sequence",4
"Uncultured bacterium clone Y59 16S ribosomal RNA gene, partial sequence",1
"Acinetobacter baumannii strain AbCTX13 chromosome, complete genome",2
"Uncultured prokaryote gene for 16S rRNA, partial sequence, clone: NNCTHY7692",1
"Escherichia coli strain A16EC0321 chromosome, complete genome",8
"Uncultured bacterium clone F5K2Q4C04H5KJP 23S ribosomal RNA gene, partial sequence",1
"Burkholderia sp. JF9 gene for 16S rRNA, partial sequence",2
"Uncultured beta proteobacterium clone C-5-53 16S ribosomal RNA gene, partial sequence",2
"Klebsiella michiganensis strain BD-50-Km chromosome, complete genome",1
"Methylobacterium extorquens CM4, complete genome",1
Serratia marcescens strain MGH246 chromosome,3
"Chlorosarcinopsis arenicola strain UTEX 1697 28S ribosomal RNA gene, partial sequence",1
"Oligella ureolytica strain FDAARGOS_872 chromosome, complete genome",1
"Vagococcus lutrae strain BN31 chromosome, complete genome",1
"Chryseobacterium sp. strain 143 16S ribosomal RNA gene, partial sequence",1
"Aerococcus viridans strain DBTS19 16S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone F5K2Q4C04JLXGH 23S ribosomal RNA gene, partial sequence",4
"Uncultured bacterium clone F5K2Q4C04J341H 23S ribosomal RNA gene, partial sequence",1
Homo sapiens isolate CHM13 chromosome 18,6
"Uncultured bacterium partial 16S rRNA gene, clone OTU512",2
"Uncultured bacterium clone F5K2Q4C04IXBHN 23S ribosomal RNA gene, partial sequence",6
"Methylovorus sp. MP688 strain MP688 23S ribosomal RNA, complete sequence",6
"Uncultured bacterium clone F5K2Q4C04JC92V 23S ribosomal RNA gene, partial sequence",3
"Meles meles genome assembly, chromosome: 18",9
"Phyllobacterium sp. T1293 chromosome, complete genome",20
"Acinetobacter pseudolwoffii strain XMC5X702 chromosome, complete genome",5
"Caldimonas thermodepolymerans strain DSM 15344 chromosome, complete genome",16
Paracoccus denitrificans strain R-1 chromosome 2,8
"Uncultured bacterium clone NYS002641 16S ribosomal RNA gene, partial sequence",1
"Lactiplantibacillus plantarum strain KLDS1.0386 plasmid p4, complete sequence",1
"Uncultured bacterium clone 8S_002b_h10 16S ribosomal RNA gene, partial sequence",1
"Bacillus pumilus strain OR31B52 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens FKBP6 pseudogene 1 (FKBP6P1), non-coding RNA",1
"Burkholderia ambifaria strain B21-006 chromosome 3, complete sequence",11
"Ruegeria sp. TM1040 plasmid megaplasmid, complete sequence",1
"Saccharomyces cerevisiae strain 2.0399 18S ribosomal RNA gene, partial sequence",5
"Methylobacterium populi strain BJ001 23S ribosomal RNA gene, complete sequence",3
"Rhizobium quercicola strain DKSPLA3 16S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone F5K2Q4C04IO5B1 23S ribosomal RNA gene, partial sequence",1
"Escherichia coli strain FDAARGOS_1304 chromosome, complete genome",1
"Starkeya sp. SL25 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",9
"Chryseobacterium faecale strain F4 chromosome, complete genome",6
"Aromatoleum petrolei strain ToN1 chromosome, complete genome",19
"Acinetobacter johnsonii strain CSUSB1 chromosome, complete genome",4
"Uncultured bacterium clone GD 1-65 16S ribosomal RNA gene, partial sequence",2
"Chamaesiphon minutus PCC 6605 strain PCC 6605 23S ribosomal RNA, complete sequence",1
"Hydrogenophaga taeniospiralis strain LT2 chromosome, complete genome",8
"Uncultured bacterium clone 3148 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone H12 23S ribosomal RNA gene, partial sequence",1
"Agrobacterium deltaense strain PT316 16S ribosomal RNA gene, partial sequence",7
"Methylobacterium currus strain TP-3 chromosome 1, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04H63PK 23S ribosomal RNA gene, partial sequence",1
"Massilia sp. HC52 chromosome, complete genome",1
"Pinus densiflora clone pcPV3-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",1
"Xanthomonas oryzae pv. oryzae strain GXO2016 chromosome, complete genome",3
uncultured bacterium partial 16S rRNA gene,21
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XVI,12
"Uncultured bacterium clone F5K2Q4C04JHYB4 23S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone nbw530a09c1 16S ribosomal RNA gene, partial sequence",1
"Methylobacterium extorquens strain AM1 23S ribosomal RNA gene, complete sequence",4
"PREDICTED: Macaca fascicularis protein phosphatase 4 regulatory subunit 2 (PPP4R2), transcript variant X3, mRNA",1
Niveibacterium microcysteis strain HC41 plasmid unnamed,3
"Homo sapiens genomic DNA, chromosome 11q, clone:RP11-689N19, complete sequence",1
"Kinneretia sp. DAIF2 chromosome, complete genome",4
"Rhodoferax sp. MIZ03 DNA, complete genome",3
"Bartonella schoenbuchensis genomic scaffold, strain MVT06, scaffold 5",2
"Uncultured bacterium clone nbw522b11c1 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04INWK0 23S ribosomal RNA gene, partial sequence",1
"Acidovorax sp. strain IM-2b 16S ribosomal RNA gene, partial sequence",5
"Nocardia asteroides strain FDAARGOS_1621 chromosome, complete genome",1
"Delftia lacustris strain INDB 16S ribosomal RNA gene, partial sequence",6
"Leptothrix cholodnii SP-6 strain SP-6 5S ribosomal RNA, complete sequence",1
"Homo sapiens bac54tar, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04JG70U 23S ribosomal RNA gene, partial sequence",10
"Acinetobacter haemolyticus strain w12 chromosome, complete genome",13
"Burkholderia cenocepacia strain S59 16S ribosomal RNA gene, partial sequence",1
"Massilia antarctica strain P9640 chromosome, complete genome",7
"Burkholderia sp. strain 495 16S ribosomal RNA gene, partial sequence",19
"Strombomonas verrucosa strain S5c large subunit ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04IU5IF 23S ribosomal RNA gene, partial sequence",1
"Massilia sp. strain S_WE.SI107 16S ribosomal RNA gene, partial sequence",1
Curvibacter putative symbiont of Hydra magnipapillata genomic scaffold HmaUn_WGA71069_1,3
"Uncultured bacterium clone ASV_2136 16S ribosomal RNA gene, partial sequence",6
"Rhodopseudomonas palustris strain RCB100 chromosome, complete genome",1
"Uncultured bacterium partial 16S rRNA gene, clone FL03_CLONE_F02",1
"Burkholderia cepacia strain CTRTINFB8 16S ribosomal RNA gene, partial sequence",2
"Klebsiella oxytoca strain Kox100 chromosome, complete genome",3
"Uncultured bacterium partial 16S rRNA gene, clone EBP1633",12
"Polaromonas sp. JS666 strain JS666 23S ribosomal RNA, complete sequence",1
"Delftia tsuruhatensis strain faro7_7B 16S ribosomal RNA gene, partial sequence",1
"Bacterium NLAE-zl-C452 16S ribosomal RNA gene, partial sequence",1
"Uncultured eukaryote clone F5K2Q4C04J45YN 28S ribosomal RNA gene, partial sequence",1
