qseqid,frequency
"Aromatoleum petrolei strain ToN1 chromosome, complete genome",3
"Paracoccus aerius strain 11410 16S ribosomal RNA gene, partial sequence",3
"Penicillium simplicissimum strain CN7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",1
"Phyllobacterium sp. T1018 chromosome, complete genome",15
"Marinichlorella sp. KAS603 28S rRNA-18S rRNA intergenic spacer, complete sequence",1
"Ralstonia wenshanensis strain 56D2 chromosome, complete genome",14
"Burkholderia ambifaria strain B21-004 chromosome 3, complete sequence",17
"Klebsiella variicola subsp. variicola strain KPN692 chromosome, complete genome",4
"Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628, complete genome",2
"Delftia lacustris strain INDB 16S ribosomal RNA gene, partial sequence",1
"Massilia sp. NP310 chromosome, complete genome",2
"Uncultured bacterium clone F5K2Q4C04IYFSF 23S ribosomal RNA gene, partial sequence",2
"Uncultured prokaryote gene for 16S rRNA, partial sequence, clone: NNCTHY1661",1
"Shigella sonnei strain UKMCC_1015 chromosome, complete genome",1
"Sulfuricella denitrificans strain skB26 23S ribosomal RNA gene, complete sequence",1
"Spirosoma linguale strain DSM 74 23S ribosomal RNA gene, complete sequence",1
"Chromobacterium rhizoryzae strain 32279 chromosome, complete genome",1
"Uncultured bacterium clone F5K2Q4C04IH61I 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04IT9MV 23S ribosomal RNA gene, partial sequence",1
"Variovorax sp. strain 196_Variovo 16S ribosomal RNA gene, partial sequence",1
"PREDICTED: Cebus imitator U1 spliceosomal RNA (LOC119470930), ncRNA",1
"Rhodoferax sp. PAMC 29310 strain PAMC29310 chromosome, complete genome",1
"Synthetic construct Homo sapiens clone IMAGE:9036759; MGC:198937 centromere protein F, 350/400ka (mitosin) (CENPF) gene, encodes complete protein",1
"Uncultured bacterium partial 16S rRNA gene, clone EBP1904",1
"Synthetic construct Homo sapiens clone ccsbBroadEn_01427 RPL24 gene, encodes complete protein",1
Serratia plymuthica strain V4 genome,5
"Bradyrhizobium sediminis strain S2-11-4 chromosome, complete genome",1
"Uncultured bacterium clone F5K2Q4C04JCSAV 23S ribosomal RNA gene, partial sequence",1
"Burkholderia contaminans strain toggle1 plasmid unnamed1, complete sequence",2
Niveibacterium microcysteis strain HC41 plasmid unnamed,2
"Bacteriophage sp. isolate contig405706, sequence",1
"Uncultured bacterium clone F5K2Q4C04IEL3J 23S ribosomal RNA gene, partial sequence",1
"Synthetic construct Homo sapiens clone ccsbBroadEn_15455 HSPA8 gene, encodes complete protein",1
"Variovorax guangxiensis strain LG-Z3 16S ribosomal RNA gene, partial sequence",2
"Phyllobacterium myrsinacearum strain IAM 13584 23S ribosomal RNA gene, partial sequence",3
"Bordetella holmesii strain ATCC 51541 23S ribosomal RNA gene, complete sequence",3
"Acinetobacter johnsonii strain CSUSB1 chromosome, complete genome",2
"Arcobacter nitrofigilis strain CI 23S ribosomal RNA gene, complete sequence",1
"Phyllobacterium sp. T1293 chromosome, complete genome",5
"Uncultured bacterium clone PET_Site1_LRC_1 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone nck60e12c1 16S ribosomal RNA gene, partial sequence",1
"Ideonella dechloratans strain CCUG 30977 chromosome, complete genome",13
"Uncultured bacterium clone F5K2Q4C04JUV8B 23S ribosomal RNA gene, partial sequence",2
"Homo sapiens BAC clone CH17-15G18 from chromosome 9, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04IW4BH 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04IXBHN 23S ribosomal RNA gene, partial sequence",1
"Burkholderia sp. strain PSB3 16S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone SHCB0616 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium gene for 16S rRNA, partial sequence, clone: N2_13G20f",1
"Comamonadaceae bacterium M7527 chromosome, complete genome",8
"Homo sapiens BAC clone CH17-64J14 from chromosome 5, complete sequence",2
"Pan troglodytes BAC clone CH251-579A17 from chromosome 7, complete sequence",1
MAG: Maritimibacter sp. isolate ih11 chromosome,1
"Comamonas aquatica strain B1 chromosome, complete genome",1
"Homo sapiens chromosome unknown clone VMRC59-520G19, complete sequence",1
Curvibacter putative symbiont of Hydra magnipapillata genomic scaffold HmaUn_WGA71069_1,1
"Human chromosome 14 DNA sequence BAC R-156E22 of library RPCI-11 from chromosome 14 of Homo sapiens (Human), complete sequence",1
"Uncultured bacterium clone ncd376b08c1 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone B5_144 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone Pohang_WWTP_October.2005_1605 16S ribosomal RNA gene, partial sequence",1
"Brevundimonas goettingensis strain LVF2 chromosome, complete genome",1
"Halomonas titanicae strain SOB56 chromosome, complete genome",1
Uncultured SAR406 cluster bacterium HF0500_01L02 genomic sequence,1
"Weissella cibaria strain CBA3636 chromosome, complete genome",3
Janthinobacterium sp. PLB04 chromosome,7
"Xenorhabdus sp. 157-C 16S ribosomal RNA gene, partial sequence",1
"Acidovorax radicis strain 79 chromosome, complete genome",6
"Uncultured bacterium clone F5K2Q4C04H90HX 23S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone Me03au130 16S ribosomal RNA gene, partial sequence",1
"Escherichia coli O157:H7 strain M1300706001A chromosome, complete genome",5
Serratia marcescens strain BD1b-2wD chromosome,1
"Lactococcus lactis strain TMPC 4A124 16S ribosomal RNA gene, partial sequence",1
Acinetobacter guillouiae strain PgBE136 chromosome,1
"Azospira oryzae strain PS 23S ribosomal RNA gene, complete sequence",1
"Herbaspirillum frisingense strain IAC152 chromosome, complete genome",5
"Uncultured bacterium clone MD20 16S ribosomal RNA gene, partial sequence",1
Homo sapiens isolate CHM13 chromosome 22,3
"Homo sapiens activator of transcription and developmental regulator AUTS2 (AUTS2), RefSeqGene on chromosome 7",1
"Devosia salina strain SCS-3 chromosome, complete genome",1
"Uncultured Vibrionaceae bacterium clone EE322 16S ribosomal RNA gene, partial sequence",1
"Tepidimonas taiwanensis strain LMG 22826 chromosome, complete genome",2
"Homo sapiens SMG6 nonsense mediated mRNA decay factor (SMG6), RefSeqGene on chromosome 17",1
"Bacillus velezensis strain A4P130 chromosome, complete genome",3
"Uncultured bacterium clone GKJWQY101BEL9D 23S ribosomal RNA gene, partial sequence",1
"Methylibium petroleiphilum PM1, complete genome",1
"Starkeya sp. SL25 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1
"Burkholderia contaminans strain SCAID TST1-2021 (11/270) chromosome 3, complete sequence",1
"Serratia nematodiphila strain IRE-14 16S ribosomal RNA gene, partial sequence",1
"Laribacter hongkongensis strain HLHK9 23S ribosomal RNA gene, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04JRRFF 23S ribosomal RNA gene, partial sequence",1
Ralstonia solanacearum strain UW251 chromosome,3
"Phyllobacterium sp. 628 plasmid p_2, complete sequence",2
"Uncultured marine bacterium clone S21-141 16S ribosomal RNA gene, partial sequence",1
"Phyllobacterium sp. T1293 plasmid pT1293c, complete sequence",9
"Burkholderia sp. JA10 gene for 16S rRNA, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04JCZFC 23S ribosomal RNA gene, partial sequence",1
Homo sapiens isolate CHM13 chromosome 15,2
"Bremerella volcania strain TYQ1 chromosome, complete genome",1
"Homo sapiens guanine monophosphate synthase (GMPS), RefSeqGene on chromosome 3",1
"Burkholderia ambifaria strain B21-004 chromosome 2, complete sequence",1
"Aureimonas populi strain KCTC 42087 chromosome, complete genome",1
"Uncultured bacterium clone PS_Site3_LRC-2 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",5
"Ferribacterium limneticum strain 132 chromosome, complete genome",3
MAG: Boseongicola sp. isolate MH-Pat-all_autometa_1-3 chromosome,1
"Oligochaeta sp. LKW085 small subunit ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone Microplastics_LRC_5 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1
"Comamonas odontotermitis strain WLL plasmid unnamed1, complete sequence",2
"Uncultured bacterium clone RKtaTu2914 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone HK_RBC20 16S ribosomal RNA gene, partial sequence",1
"Chryseobacterium indologenes strain ALR-13 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium partial 16S rRNA gene, clone 28b",1
"Limosilactobacillus reuteri strain VHProbi M07 chromosome, complete genome",4
"Salpingoeca llamariensis strain HFCC983 large subunit ribosomal RNA gene, partial sequence",1
"Meles meles genome assembly, chromosome: 16",3
"Uncultured bacterium clone SUPWaterClone23 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone OTU_15_1 16S ribosomal RNA, partial sequence",1
"Weissella confusa strain F2S2 16S ribosomal RNA gene, partial sequence",2
"Weissella confusa strain SM1 16S ribosomal RNA gene, partial sequence",4
"Polynucleobacter sp. MWH-CaK5 chromosome, complete genome",1
"Stenotrophomonas maltophilia strain GL104 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04H3IPI 23S ribosomal RNA gene, partial sequence",1
"Homo sapiens FOSMID clone WI2-2178L20 from chromosome 9, complete sequence",1
"Uncultured bacterium clone ASV_2153 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium partial 16S rRNA gene, clone EBP1633",4
"Uncultured bacterium clone ncd328d04c1 16S ribosomal RNA gene, partial sequence",3
"Human DNA sequence from clone RP11-18I14 on chromosome 10, complete sequence",1
Xanthobacter autotrophicus strain GJ10 chromosome,1
"Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone:e21",1
"Burkholderia ambifaria strain B21-004 chromosome 1, complete sequence",5
"Methylotenera mobilis strain JLW8 23S ribosomal RNA gene, complete sequence",1
"Thiocapsa bogorovii strain BBS chromosome, complete genome",1
Homo sapiens 3 BAC RP11-316N24 (Roswell Park Cancer Institute Human BAC Library) complete sequence,1
"Uncultured beta proteobacterium clone O-5-16 16S ribosomal RNA gene, partial sequence",1
"Herbaspirillum huttiense strain 266 23S ribosomal RNA gene, partial sequence",1
"Nitraria tangutorum mitochondrion, complete genome",1
MAG: Paracoccaceae bacterium isolate ACE_PRO37 chromosome,1
"Simplicispira sp. strain NBSH78 16S ribosomal RNA gene, partial sequence",1
"Methylobacterium extorquens strain AM1 23S ribosomal RNA gene, complete sequence",2
"Uncultured bacterium clone AFYEL_aaj67c09 16S ribosomal RNA gene, partial sequence",1
"Weissella cibaria strain KH1006 16S ribosomal RNA gene, partial sequence",2
"Aquirufa lenticrescens strain 9H-EGSE chromosome, complete genome",2
"Bifidobacterium longum strain VHProbi Y08 chromosome, complete genome",1
"Dechloromonas denitrificans strain G6 chromosome, complete genome",2
"Enterobacter cancerogenus strain QSYD2 16S ribosomal RNA gene, partial sequence",1
"Acinetobacter pittii strain AP2044 chromosome, complete genome",1
"Uncultured bacterium clone ASV_1254 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04I4V74 23S ribosomal RNA gene, partial sequence",2
"Homo sapiens BAC clone CH17-264B6 from chromosome 7, complete sequence",2
Escherichia coli strain Colony167 chromosome,1
Homo sapiens isolate CHM13 chromosome 19,4
"Homo sapiens long intergenic non-protein coding RNA 623 (LINC00623), transcript variant 3, long non-coding RNA",1
"Sinorhizobium meliloti strain RRI128 chromosome, complete genome",1
"Uncultured bacterium clone F5K2Q4C04J4KTT 16S ribosomal RNA gene, partial sequence",1
"Castellaniella defragrans strain 65Phen 23S ribosomal RNA gene, complete sequence",2
"Synthetic construct Homo sapiens clone ccsbBroadEn_13843 DDB1-like gene, encodes complete protein",1
"Uncultured bacterium clone F5K2Q4C04I3KQJ 23S ribosomal RNA gene, partial sequence",1
"Leptothrix cholodnii strain SP-6 23S ribosomal RNA gene, complete sequence",1
"Saccharomyces paradoxus strain LO2_3 26S ribosomal RNA gene, partial sequence",1
"Weissella cibaria strain W.ciberia 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone G4RKN2Y13H6SIO 16S ribosomal RNA gene, partial sequence",1
"Streptomyces gobiensis strain 1_25 chromosome, complete genome",1
"Serratia marcescens strain Z1442 16S ribosomal RNA gene, partial sequence",1
"Weissella diestrammenae strain KACC 16890 chromosome, complete genome",2
"Variovorax paradoxus strain EPS 23S ribosomal RNA gene, complete sequence",1
"Paraburkholderia fungorum strain PT315 16S ribosomal RNA gene, partial sequence",6
"Synura americana strain Johae010508F 28S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone nck229h07c1 16S ribosomal RNA gene, partial sequence",1
"Synthetic construct Homo sapiens clone ccsbBroadEn_07236 TAGLN2 gene, encodes complete protein",1
Homo sapiens isolate CHM13 chromosome 21,2
Homo sapiens isolate CHM13 chromosome 16,1
"Escherichia coli strain A16EC0618 chromosome, complete genome",1
Penicillium digitatum strain PdW03 chromosome 6,1
"Uncultured beta proteobacterium clone SHNI452 16S ribosomal RNA gene, partial sequence",1
"Alicycliphilus denitrificans strain BC 23S ribosomal RNA gene, complete sequence",1
"Bosea vaviloviae strain S_WE.SI078 16S ribosomal RNA gene, partial sequence",1
"Podospora comata strain Wa139- chromosome 5, complete sequence",1
uncultured bacterium partial 16S rRNA gene,1
uncultured Alphaproteobacteria partial 16S rRNA gene,1
"Polaromonas naphthalenivorans strain CJ2 23S ribosomal RNA gene, complete sequence",1
"Kandeliimicrobium roseum strain 21LS9-139 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone PS_Site2_3_LRC-1 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1
"Uncultured alpha proteobacterium clone Fl-1F_B05 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone nck243e01c1 16S ribosomal RNA gene, partial sequence",1
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XIII,2
"Kluyveromyces marxianus strain BR19 large subunit ribosomal RNA gene, partial sequence",1
Pseudomonas lalucatii strain R1b52 chromosome,1
"Uncultured beta proteobacterium clone G9-01QJN 16S ribosomal RNA gene, partial sequence",1
Homo sapiens clone LA13_165F6 sequence,2
"Burkholderia sp. strain 495 16S ribosomal RNA gene, partial sequence",3
"Uncultured bacterium clone F5K2Q4C04JZE3E 23S ribosomal RNA gene, partial sequence",1
"Serratia marcescens strain CF-S28 16S ribosomal RNA gene, partial sequence",1
"Loktanella sp. strain HNIBRBA683 16S ribosomal RNA gene, partial sequence",1
"Spumella communis strain Meonmulgak032418A6 large subunit ribosomal RNA gene, partial sequence",1
"Rhogostoma bowseri strain B14 small subunit ribosomal RNA gene, partial sequence",1
"Propionibacterium acnes hdn-1, complete genome",1
"Escherichia coli strain 437024 chromosome, complete genome",1
"Paenacidovorax monticola strain KACC 19171 chromosome, complete genome",1
"Uncultured bacterium clone Otu162 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone leachfield16Sseq353 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone Cr2G-752 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone UAFB_TA_37_29 16S ribosomal RNA gene, partial sequence",1
"Cytobacillus suaedae strain HD4P25 chromosome, complete genome",1
"Uncultured bacterium clone D7_80 16S ribosomal RNA gene, partial sequence",3
"Synthetic construct Homo sapiens clone ccsbBroadEn_03034 RRP7A gene, encodes complete protein",1
"Plasmodium yoelii strain 17XNL apicoplast, complete genome",1
"Bradyrhizobium sp. LCM 3703 16S-23S ribosomal RNA intergenic spacer, partial sequence",1
"Homo sapiens DNA, sequence_id: unplaced_0095",1
"Elizabethkingia anophelis strain Samsun 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone B11-392 16S ribosomal RNA gene, partial sequence",1
"Escherichia coli strain 114 chromosome, complete genome",1
"Trachelomonas planctonica strain WT1 large subunit ribosomal RNA gene, partial sequence",1
"Homo sapiens heterogeneous nuclear ribonucleoprotein H1 (HNRNPH1), transcript variant 51, mRNA",1
"Human chromosome 14 DNA sequence BAC R-173D9 of library RPCI-11 from chromosome 14 of Homo sapiens (Human), complete sequence",1
Salmonella enterica subsp. enterica serovar Newport strain CVM N16S224 plasmid pN16S224-2,1
"Acinetobacter vivianii strain KJ-1 chromosome, complete genome",2
"Uncultured bacterium clone SeaWat_30670 16S ribosomal RNA gene, partial sequence",1
"Batrachospermum sp. strain SAS-FKP1901 chloroplast, complete genome",1
"Acinetobacter sp. YH12138 strain YH12138_T chromosome, complete genome",1
"Escherichia coli strain ST540, complete genome",2
"Uncultured bacterium clone nbw316b06c1 16S ribosomal RNA gene, partial sequence",1
"Variovorax sp. PDNC026 chromosome, complete genome",1
"Arcobacter sp. L DNA, complete genome",1
"Citrobacter freundii strain 52323CZ chromosome, complete genome",1
"Pan troglodytes BAC clone CH251-656F20 from chromosome 7, complete sequence",1
"Weissella paramesenteroides strain MYPS5.1 16S ribosomal RNA gene, partial sequence",1
"Uncultured microeukaryote clone E-32 18S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone FB28 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04IB6E5 23S ribosomal RNA gene, partial sequence",1
"Paucibacter sp. Asd M1A1 16S rRNA gene, strain Asd M1A1",1
"Uncultured bacterium clone F1Q32TO06HN23R 16S ribosomal RNA gene, partial sequence",1
Paracoccus denitrificans strain R-1 chromosome 2,1
"Uncultured bacterium clone W203d8_11751 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04JPNAE 23S ribosomal RNA gene, partial sequence",1
"Aeromonas veronii strain 211c 23S ribosomal RNA gene, complete sequence",1
"Uncultured bacterium clone 1-4-11-57 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens chromosome unknown clone VMRC69-528G18, complete sequence",1
"Sphingomonas radiodurans strain S9-5 chromosome, complete genome",2
"Massilia sp. PAMC28688 chromosome, complete genome",1
"Burkholderia vietnamiensis strain FDAARGOS_1590 chromosome 1, complete sequence",2
"Flavobacterium sp. F-29 chromosome, complete genome",1
"Acinetobacter haemolyticus strain w12 chromosome, complete genome",1
Emiliania huxleyi CCMP1516 hypothetical protein mRNA,1
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome IX,1
"Herbaspirillum sp. strain CNPSo 4064 16S ribosomal RNA gene, partial sequence",4
"Volvariella volvacea strain V23 18S ribosomal RNA gene, partial sequence",1
"Acinetobacter lwoffii strain H7 chromosome, complete genome",1
"Uncultured bacterium clone MD101 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: rS35m_67",1
"Uncultured fungus clone CMH139 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1
"Tol2 transposon-based gene trap vector pT2F2-SAhygpA-NP21-Rev DNA, complete sequence",1
"Uncultured bacterium partial 16S rRNA gene, clone B013H_D05",1
"Snodgrassella alvi strain wkB2 23S ribosomal RNA gene, complete sequence",1
"Klebsiella pneumoniae strain KPN342 chromosome, complete genome",1
"Uncultured bacterium clone nck49c12c1 16S ribosomal RNA gene, partial sequence",2
"Paracidovorax citrulli strain HPP21-3-3B chromosome, complete genome",4
"Escherichia coli strain A16EC0321 chromosome, complete genome",1
"Human DNA sequence from clone RP11-500G22 on chromosome 10, complete sequence",1
"Acinetobacter sp. strain NS-19 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium partial 16S rRNA gene, clone OTU512",1
"Homo sapiens BAC clone CH17-89O20 from chromosome 1, complete sequence",1
"Methylobacterium zatmanii partial 16S rRNA gene, isolate Bts 17",1
"Nannochloropsis oceanica strain LAMB0001 chloroplast, partial genome",1
"Burkholderia vietnamiensis strain FDAARGOS_1590 chromosome 2, complete sequence",1
"Rhodococcus qingshengii strain VT6 chromosome, complete genome",1
No_Species,1
"Uncultured bacterium clone F5K2Q4C04J2WIY 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone nck51c01c1 16S ribosomal RNA gene, partial sequence",1
"Uncultured Lactobacillaceae bacterium clone 13d84.498 16S ribosomal RNA gene, partial sequence",1
"Martelella lutilitoris strain ZRK001 chromosome, complete genome",1
"uncultured fungus genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate consensus04300",1
Aquabacter sp. L1I39 chromosome,1
"Uncultured bacterium clone GMM_66 16S ribosomal RNA gene, partial sequence",1
"Phytolacca americana voucher ENC851198 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone b49 16S ribosomal RNA gene, partial sequence",1
"Phyllobacterium brassicacearum strain C24 16S ribosomal RNA gene, partial sequence",1
"Herbaspirillum seropedicae SmR1 strain SmR1 5S ribosomal RNA, complete sequence",2
"Chryseobacterium indologenes strain 742 chromosome, complete genome",1
Burkholderia dolosa strain FDAARGOS_1545 chromosome 1,3
"Sphingomonas sanxanigenens strain NX02 23S ribosomal RNA gene, complete sequence",1
"Uncultured bacterium isolate DGGE gel band RTGwells_8 16S ribosomal RNA gene, partial sequence",1
"Acinetobacter sp. strain BA9 16S ribosomal RNA gene, partial sequence",1
"Uncultured fungus clone Aero6_C09 18S ribosomal RNA gene, partial sequence",1
MAG: Sphingobacteriales bacterium isolate Fred_18-Q3-R57-64_BATAC.414 chromosome,1
"Aquabacterium sp. strain RJY3 16S ribosomal RNA gene, partial sequence",1
"Candida rugosa 5S ribosomal RNA gene, partial sequence",1
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XV,1
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome IV,1
"Herbaspirillum seropedicae SmR1, complete genome",1
"Homo sapiens FOSMID clone ABC13-49744700A3 from chromosome unknown, complete sequence",1
Kocuria rhizophila strain 28R2A-20 chromosome,1
"Pseudomonadota bacterium strain IMCC27049 16S ribosomal RNA gene, partial sequence",1
"Bradyrhizobium septentrionale strain 1S1 chromosome, complete genome",1
"Burkholderia cenocepacia H111 chromosome 2, complete genome",1
"Stutzerimonas stutzeri strain S116 chromosome, complete genome",1
"Shigella boydii Sb227 strain Sb227 5S ribosomal RNA, complete sequence",1
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XVI,1
"Rhodobacter blasticus gene for 23S ribosomal RNA, partial sequence",1
"PREDICTED: Macaca fascicularis uncharacterized LOC107130378 (LOC107130378), ncRNA",1
"Human chromosome 14 DNA sequence BAC R-401H9 of library RPCI-11 from chromosome 14 of Homo sapiens (Human), complete sequence",1
"Bicosoeca sp. HFCC85 28S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: rS43m_13",1
"Olisthodiscus luteus strain K-0444 plastid, complete genome",1
"Microbacterium oxydans strain KKR3/1 16S ribosomal RNA gene, partial sequence",1
"Staphylococcus haemolyticus strain AIA.SA.9.3 16S ribosomal RNA gene, partial sequence",1
"PREDICTED: Macaca fascicularis polyhomeotic homolog 3 (PHC3), transcript variant X12, mRNA",1
"Dechloromonas denitrificans strain 98 chromosome, complete genome",1
"Uncultured bacterium clone AB94 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone BD10420 16S ribosomal RNA gene, partial sequence",1
"Pseudosulfitobacter pseudonitzschiae strain MC36-1 chromosome, complete genome",1
"Pandoraea pnomenusa strain 3kgm 23S ribosomal RNA gene, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04JY7QG 23S ribosomal RNA gene, partial sequence",1
"Weissella soli strain T4 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone H-Con-B2-Min_236650 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone 3186 16S ribosomal RNA gene, partial sequence",1
