qseqid,frequency
uncharacterized protein CDAR_467111 [Caerostris darwini],1
hypothetical protein MG293_006791 [Ovis ammon polii],1
hypothetical protein GGR58DRAFT_518173 [Xylaria digitata],1
"LOW QUALITY PROTEIN: conserved hypothetical protein, partial [Brucella sp. 83/13]",2
"hypothetical protein DVA78_20315, partial [Acinetobacter baumannii]",2
hypothetical protein SRAA_2358 [Serpentinimonas raichei],4
"hypothetical protein Lal_00005175, partial [Lupinus albus]",1
ankyrin repeat domain-containing protein 26-like isoform X1 [Canis lupus familiaris],1
hypothetical protein GCM10019060_41130 [Novosphingobium pokkalii],2
NCZ75185.1,1
MBF8274660.1,1
conserved hypothetical protein [Magnetospirillum gryphiswaldense MSR-1],1
"putative DNA methylase, containing Zn-ribbon [Nitrospira defluvii]",1
unnamed protein product [Enterobius vermicularis],1
conserved hypothetical protein [Burkholderia cenocepacia],1
nucleoside diphosphate phosphatase ENTPD5 isoform X1 [Macaca thibetana thibetana],1
hypothetical protein L1887_55040 [Cichorium endivia],1
uncharacterized protein LOC112206048 isoform X1 [Pan troglodytes],2
DUF1801 domain-containing protein [Acidovorax sp. KKS102],1
TPA: hypothetical protein BOS_23216 [Bos taurus],1
hypothetical protein B9W48_18620 [Acinetobacter baumannii],3
putative protein without homology [Lactobacillus crispatus ST1],1
GEZ67243.1,1
hypothetical protein E4T38_09949 [Aureobasidium subglaciale],1
MBY7705685.1,1
hypothetical protein FOE74_04880 [Rufibacter glacialis],1
unnamed protein product [Didymodactylos carnosus],1
hypothetical protein MYCGRDRAFT_45585 [Zymoseptoria tritici IPO323],1
"hypothetical protein P153DRAFT_304443, partial [Dothidotthia symphoricarpi CBS 119687]",1
hypothetical protein DMP16_08795 [Sulfolobus sp. B1],2
MAG: hypothetical protein E6J78_16735 [Deltaproteobacteria bacterium],1
"hypothetical protein CJZ34_24030, partial [Salmonella enterica subsp. enterica serovar Hadar]",1
unnamed protein product [Spirodela intermedia],2
MAG: RNAase [Acetobacterium sp. MES1],1
hypothetical protein AOQ84DRAFT_280961 [Glonium stellatum],1
GEV75838.1,1
MWP94644.1,1
hypothetical protein DSM25559_2284 [Agrobacterium rosae],1
HIV72309.1,1
hypothetical protein FCM35_KLT06424 [Carex littledalei],1
unnamed protein product [Allacma fusca],2
Smad interacting-protein 1 [Homo sapiens],1
hypothetical protein KY289_009822 [Solanum tuberosum],1
hypothetical protein AA105894_1873 [Asaia spathodeae NBRC 105894],1
hypothetical protein AAW51_1793 [Caldimonas brevitalea],4
"hCG1640777, isoform CRA_a [Homo sapiens]",1
Fe-S cluster assembly scaffold IscU [Macromonas sp. BK-30],1
Uncharacterised protein [Chlamydia trachomatis],1
"hypothetical protein, partial [uncultured alpha proteobacterium HF0070_14E07]",1
MAG: hypothetical protein CM1200mP17_08440 [Woeseia sp.],1
"hypothetical protein, partial [Waddlia chondrophila]",1
hypothetical protein SCH_1947 [Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67],1
hypothetical protein BN1182_BQ_01900 [Pantoea ananatis],1
translation initiation factor IF-2-like [Lagopus muta],1
MULTISPECIES: ATP-dependent Clp protease ATP-binding subunit [Micrococcus],1
quinate permease [Pyrenophora tritici-repentis],1
hypothetical protein L3Q82_007066 [Scortum barcoo],2
uncharacterized protein LOC119532393 [Choloepus didactylus],1
hypothetical protein EZV62_028250 [Acer yangbiense],1
hypothetical protein NTHI1209_00002 [Haemophilus influenzae],1
conserved hypothetical protein [Hyphomicrobium sp. GJ21],1
hypothetical protein KL951_005378 [Ogataea haglerorum],1
unnamed protein product [Macaca fascicularis],1
hypothetical protein BMR85_025735 [Achromobacter sp. KAs 3-5],1
putative uncharacterized protein [Sutterella wadsworthensis CAG:135],2
"hypothetical protein, partial [Ophiocordyceps unilateralis]",1
"LEPROTL1 isoform 8, partial [Pan troglodytes]",1
hypothetical protein G6F32_010774 [Rhizopus arrhizus],1
hypothetical protein HPS_1373 [Glaesserella parasuis 29755],1
NBI65131.1,1
LOW QUALITY PROTEIN: lymphocyte-specific protein 1-like [Nomascus leucogenys],1
hypothetical protein GCM10018980_77420 [Streptomyces capoamus],1
NBW49199.1,1
hypothetical protein EJ07DRAFT_150079 [Lizonia empirigonia],1
MBA2756481.1,1
hypothetical protein CUC08_Gglean000089 [Alternaria sp. MG1],1
hypothetical protein BO70DRAFT_404746 [Aspergillus heteromorphus CBS 117.55],2
hypothetical protein BN2475_120167 [Paraburkholderia ribeironis],3
uncharacterized protein BO70DRAFT_407992 [Aspergillus heteromorphus CBS 117.55],2
hypothetical protein PROSTU_01098 [Providencia stuartii ATCC 25827],1
alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [Acidovorax temperans],1
hypothetical protein F4804DRAFT_193991 [Jackrogersella minutella],1
MBA4060698.1,1
retron-type RNA-directed DNA polymerase [uncultured bacterium],1
peptidase [Pseudomonas simiae],1
hypothetical protein VARIO8X_60339 [Burkholderiales bacterium 8X],2
"hypothetical protein CAPTEDRAFT_61794, partial [Capitella teleta]",1
hypothetical protein HGM15179_007789 [Zosterops borbonicus],1
"hypothetical protein BAUCODRAFT_57269, partial [Baudoinia panamericana UAMH 10762]",1
"uncharacterized protein SmJEL517_g06280, partial [Synchytrium microbalum]",1
Unknown protein [Striga hermonthica],1
hypothetical protein CE205_22055 [Achromobacter insolitus],1
glycerophosphoryl diester phosphodiesterase [Acidovorax temperans],1
putative uncharacterized protein ART2 [Glycine max],1
neurogenic locus notch homolog protein 2 isoform X1 [Neophocaena asiaeorientalis asiaeorientalis],1
hypothetical protein FQR65_LT19175 [Abscondita terminalis],1
"hypothetical protein DM02DRAFT_682029, partial [Periconia macrospinosa]",2
"PREDICTED: uncharacterized protein LOC108176166, partial [Oryctolagus cuniculus]",1
phosphonate C-P lyase system protein PhnK [Acidovorax sp. CF316],1
"MAG: hypothetical protein LQ341_005378, partial [Variospora aurantia]",1
putative membrane protein [Burkholderia sp. RPE67],1
hypothetical protein AGR8A_Lc20187 [Agrobacterium fabrum str. J-07],1
MCP9769255.1,1
hypothetical protein A8B94_11145 [Bordetella pertussis],2
hypothetical protein Lal_00015036 [Lupinus albus],1
hypothetical protein GX50_07798 [Emmonsia crescens],1
hypothetical protein Lal_00015068 [Lupinus albus],1
conserved hypothetical protein [Staphylococcus aureus subsp. aureus 65-1322],1
"unknown, partial [Brugia malayi]",1
hypothetical protein GCM10011282_35980 [Undibacterium macrobrachii],1
hypothetical protein BZG14_13030 [Salinivibrio sp. IB282],1
conserved hypothetical protein [Listeria monocytogenes J2818],1
"putative cell wall-associated hydrolase, partial [Acinetobacter baumannii 1043903]",1
PREDICTED: putative glycerol kinase 5 [Galeopterus variegatus],2
hypothetical protein Llan_1814 [Legionella lansingensis],1
NXA16687.1,1
hypothetical protein CNECB9_4760005 [Cupriavidus necator],1
MAG: hypothetical protein BWY89_02061 [Bacteroidetes bacterium ADurb.BinA012],1
protein of unknown function [Stenotrophomonas maltophilia],1
hypothetical protein FXW26_05315 [Candidatus Liberibacter asiaticus],1
hypothetical protein Lal_00001024 [Lupinus albus],1
collagen alpha-1(I) chain-like [Dipodomys spectabilis],1
lysine--tRNA ligase [Acidovorax sp. BoFeN1],1
hypothetical protein [uncultured bacterium],2
"hypothetical protein KXX34_008752, partial [Aspergillus fumigatus]",1
HAJ06172.1,1
MAG: hypothetical protein A2486_10500 [Burkholderiales bacterium RIFOXYC12_FULL_65_23],1
hypothetical protein BDFG_09352 [Blastomyces dermatitidis ATCC 26199],1
uncharacterized protein LOC115894791 [Rhinopithecus roxellana],1
hypothetical protein EJ07DRAFT_170144 [Lizonia empirigonia],1
"LOW QUALITY PROTEIN: protein GVQW1-like, partial [Hylobates moloch]",1
hypothetical protein NGSS3160_11820 [Neisseria gonorrhoeae],1
"hCG1784253, partial [Homo sapiens]",1
ATF6B protein [Homo sapiens],1
ubiquitin-conjugating enzyme E2 D2-like [Lagopus leucura],1
nitrite/sulfite reductase [Acidovorax temperans],1
NDY91216.1,2
"hCG2039686, partial [Homo sapiens]",1
unnamed protein product [Homo sapiens],1
hypothetical protein Lal_00004262 [Lupinus albus],1
HAI7155063.1,1
hypothetical protein ALP04_102182 [Pseudomonas amygdali pv. sesami],1
hypothetical protein EVAR_47607_1 [Eumeta japonica],1
hypothetical protein HPP92_018373 [Vanilla planifolia],1
hypothetical protein [Micrococcus flavus],1
hypothetical protein AWU46_0217185 [Acinetobacter baumannii],1
hypothetical protein Csp_D29880 [Curvibacter putative symbiont of Hydra magnipapillata],1
"hypothetical protein KXX19_008093, partial [Aspergillus fumigatus]",1
hypothetical protein POVWA2_092620 [Plasmodium ovale wallikeri],1
N-acetyl-gamma-glutamyl-phosphate reductase [Acidovorax temperans],1
hypothetical protein CERSUDRAFT_61276 [Gelatoporia subvermispora B],2
TBC1 domain family member 3K isoform X2 [Homo sapiens],1
hypothetical protein BO70DRAFT_375690 [Aspergillus heteromorphus CBS 117.55],1
hypothetical protein G432_08665 [Sphingomonas sp. MM-1],1
"hypothetical protein K452DRAFT_235944, partial [Aplosporella prunicola CBS 121167]",1
hypothetical protein BN1182_AB_00100 [Pantoea ananatis],1
diversity-generating retroelement protein Avd [Ideonella dechloratans],1
"hypothetical protein PENSOL_c178G08764, partial [Penicillium solitum]",1
hypothetical protein A0H81_15016 [Grifola frondosa],1
hypothetical protein FFLO_07156 [Filobasidium floriforme],1
"hypothetical protein COCC4DRAFT_155578, partial [Bipolaris maydis ATCC 48331]",1
hypothetical protein E1956_42610 (plasmid) [Paraburkholderia pallida],1
hypothetical protein BMULJ_05092 [Burkholderia multivorans ATCC 17616],3
hypothetical protein CS076_05180 [Pseudomonas prosekii],1
Uncharacterised protein [Burkholderia pseudomallei],1
hypothetical protein G6F68_010122 [Rhizopus microsporus],1
conserved hypothetical protein [Xanthomonas citri pv. citri],1
hypothetical protein GCM10007278_25540 [Paenalcaligenes hominis],1
hypothetical protein GCM10007368_40150 [Isoptericola cucumis],1
collagen alpha-4(IV) chain-like [Homo sapiens],1
hypothetical protein GCM10011331_26630 [Flavimobilis marinus],1
"hypothetical protein M406DRAFT_261455, partial [Cryphonectria parasitica EP155]",1
hypothetical protein Lal_00014773 [Lupinus albus],1
hypothetical protein AEM42_01575 [Betaproteobacteria bacterium UKL13-2],1
hypothetical protein T4B_8337 [Trichinella pseudospiralis],1
"hypothetical protein C2G38_1974371, partial [Gigaspora rosea]",1
protein of unknown function [Denitratisoma oestradiolicum],1
EI24 domain-containing protein [Acidovorax sp. IB03],1
"hypothetical protein K460DRAFT_297821, partial [Cucurbitaria berberidis CBS 394.84]",1
hypothetical protein F4809DRAFT_654742 [Biscogniauxia mediterranea],1
hypothetical protein Lal_00041355 [Lupinus albus],1
"hypothetical protein GWI33_013314, partial [Rhynchophorus ferrugineus]",1
"hypothetical protein K490DRAFT_52542, partial [Saccharata proteae CBS 121410]",1
hypothetical protein HMPREF9565_01483 [Cutibacterium acnes HL053PA2],1
hypothetical protein GOBAR_AA37329 [Gossypium barbadense],1
ABC transporter ATP-binding protein [Undibacterium sp. TS12],1
"hypothetical protein KUCAC02_035431, partial [Chaenocephalus aceratus]",1
putative salivary gland protein 15 [Frankliniella occidentalis],1
"hypothetical protein, partial [Escherichia coli]",1
hypothetical protein G6F68_011575 [Rhizopus microsporus],1
"hypothetical protein M011DRAFT_414241, partial [Sporormia fimetaria CBS 119925]",1
LOW QUALITY PROTEIN: identified by MetaGeneAnnotator [Elysia marginata],1
hypothetical protein HMPREF0305_11076 [Corynebacterium pseudogenitalium ATCC 33035],1
Uncharacterised protein [Neisseria subflava],1
hypothetical protein P153DRAFT_179268 [Dothidotthia symphoricarpi CBS 119687],1
MCM2347508.1,1
RNA-binding protein [Polaromonas glacialis],1
"hypothetical protein BDE02_11G065600, partial [Populus trichocarpa]",1
elongation factor Tu [Salmonella enterica subsp. enterica serovar Typhi],1
MBS1157359.1,1
