qseqid,frequency
hypothetical protein HM1_3126 [Heliomicrobium modesticaldum Ice1],1
"hypothetical protein KP509_13G053500, partial [Ceratopteris richardii]",1
"Putative uncharacterized protein, partial [Pararhodospirillum photometricum DSM 122]",1
hypothetical protein TUM4637_41990 [Shewanella hafniensis],1
3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [Phyllobacterium myrsinacearum],1
MULTISPECIES: attG domain containing protein [Herbaspirillum],1
hypothetical protein GCM10011357_38230 [Lacimicrobium alkaliphilum],1
hypothetical protein POTG_04459 [Paenibacillus sp. oral taxon 786 str. D14],1
conserved hypothetical protein [Heliomicrobium modesticaldum Ice1],1
hypothetical protein GCM10010985_61530 [Caballeronia grimmiae],1
MULTISPECIES: hypothetical protein [Burkholderia],1
hypothetical protein BWZ13_01995 [Lactobacillus iners],1
E3 ubiquitin-protein ligase TRIM52 isoform X1 [Homo sapiens],1
chromosome partition protein Smc [Novimethylophilus kurashikiensis],1
