qseqid,frequency
"Burkholderia vietnamiensis strain FDAARGOS_1590 chromosome 2, complete sequence",1
"Bos taurus genome assembly, chromosome: 15",1
"Thiomonas intermedia strain K12 23S ribosomal RNA gene, complete sequence",1
"Uncultured bacterium clone NF019 16S ribosomal RNA (rrs) gene, partial sequence",1
"Homo sapiens dehydrodolichyl diphosphate synthase subunit (DHDDS), RefSeqGene on chromosome 1",1
"Agrobacterium larrymoorei strain AF3.44 chromosome 2, complete sequence",1
"Uncultured bacterium clone FL_03_72 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens genomic DNA, chromosome 8q23, clone:KB1043D8",1
"Staphylococcus sp. strain MS2 16S ribosomal RNA gene, partial sequence",1
"Haemophilus influenzae CHBN-III-7 DNA, complete genome",1
"Uncultured bacterium clone AmSam4HD48 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens chromosome unknown clone VMRC59-227G5, complete sequence",1
"Pectobacterium parvum strain FN20211 chromosome, complete genome",1
"Euphorbia chevalieri voucher H.M.Richards 2343 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone nbw298h10c1 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens GIHCG inhibitor of miR-200b/200a/429 expression (GIHCG), long non-coding RNA",1
"Synthetic construct Homo sapiens clone ccsbBroadEn_10938 IPO5 gene, encodes complete protein",1
"Uncultured bacterium clone HZ204 16S ribosomal RNA gene, partial sequence",1
"Paraburkholderia caribensis strain IAC-BECa88 chromosome 2, complete sequence",1
"Simplicispira sp. strain NBSH78 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens chromosome unknown clone VMRC59-520I11, complete sequence",1
"Massilia antarctica strain P8398 chromosome, complete genome",1
"Polaromonas sp. JS666 strain JS666 23S ribosomal RNA, complete sequence",1
"Arcobacter butzleri strain ED-1 23S ribosomal RNA gene, complete sequence",1
"Uncultured bacterium clone a43 16S ribosomal RNA gene, partial sequence",1
"PREDICTED: Macaca fascicularis dedicator of cytokinesis 4 (DOCK4), transcript variant X7, mRNA",1
"Uncultured bacterium clone F5K2Q4C04JQQ1F 23S ribosomal RNA gene, partial sequence",1
"Homo sapiens ubiquitin conjugating enzyme E2 A (UBE2A), RefSeqGene on chromosome X",1
"PREDICTED: Leopardus geoffroyi eukaryotic translation initiation factor 4A2 (EIF4A2), transcript variant X1, mRNA",1
"Bradyrhizobium barranii subsp. barranii strain 323S2 chromosome, complete genome",1
"Micrococcus yunnanensis strain AIA.SA.9.2 16S ribosomal RNA gene, partial sequence",1
"Photobacterium damselae subsp. piscicida MT-1590 DNA, complete genome",1
"uncultured fungus genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate consensus03149",1
"Bosea sp. (in: a-proteobacteria) strain DN1742 16S ribosomal RNA gene, partial sequence",1
"Proteus mirabilis strain PM1162 chromosome, complete genome",1
"Uncultured bacterium clone nbt219b12 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens signal recognition particle 9 (SRP9), transcript variant 1, mRNA",1
"Synthetic construct Homo sapiens clone ccsbBroadEn_03538 DARS2 gene, encodes complete protein",1
"Leuconostoc mesenteroides strain C7 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone MAY10C17 16S ribosomal RNA gene, partial sequence",1
"PREDICTED: Macaca fascicularis integrin subunit beta 1 (ITGB1), transcript variant X9, mRNA",1
"Synthetic construct Homo sapiens clone ccsbBroadEn_02717 KIAA0090 gene, encodes complete protein",1
"Methylovorus sp. MP688 strain MP688 23S ribosomal RNA, complete sequence",1
"Aromatoleum petrolei strain ToN1 chromosome, complete genome",1
"Weissella hellenica strain MBEL1842 chromosome, complete genome",2
"Uncultured bacterium clone F5K2Q4C04H5WHI 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone 704 16S ribosomal RNA gene, partial sequence",1
"Deefgea tanakiae strain D25 chromosome, complete genome",1
"Burkholderia contaminans strain SCAID TST1-2021 (11/270) chromosome 2, complete sequence",1
"Homo sapiens aldehyde dehydrogenase 18 family member A1 (ALDH18A1), RefSeqGene on chromosome 10",1
"Halomonas campaniensis strain LS21, complete genome",1
"Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628, complete genome",1
"Homo sapiens cDNA FLJ37978 fis, clone CTONG2010348",1
"Bordetella holmesii strain ATCC 51541 23S ribosomal RNA gene, complete sequence",1
"PREDICTED: Leopardus geoffroyi casein kinase 1 gamma 3 (CSNK1G3), transcript variant X21, mRNA",1
"Uncultured bacterium clone ncd328d04c1 16S ribosomal RNA gene, partial sequence",1
"Uncultured Rhizobiales bacterium clone TNWC2G 16S ribosomal RNA gene, partial sequence",1
"Burkholderia rhizoxinica strain HKI 454 23S ribosomal RNA gene, complete sequence",1
"Bos taurus genome assembly, chromosome: 19",1
"PREDICTED: Camelus bactrianus translation machinery associated 7 homolog (TMA7), mRNA",1
"Uncultured gamma proteobacterium clone HM-65 16S ribosomal RNA gene, partial sequence",1
"PREDICTED: Equus asinus oxidative stress induced growth inhibitor family member 2 (OSGIN2), transcript variant X4, mRNA",1
"Uncultured bacterium partial 16S rRNA gene, clone ONK-PVA3/83m_B11",1
MAG: Paracoccaceae bacterium isolate ACE_PRO37 chromosome,1
"Acinetobacter soli strain ZA.SA.7.6 16S ribosomal RNA gene, partial sequence",1
"Rhodoferax ferrireducens strain T118 23S ribosomal RNA gene, complete sequence",1
"Microvirgula sp. strain ST5M 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone PS_Site3_LRC-2 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1
Homo sapiens isolate CHM13 chromosome 19,1
"Enterococcus faecalis strain E533 chromosome, complete genome",1
"Methyloversatilis discipulorum strain S_WO.AB16.054 16S ribosomal RNA gene, partial sequence",1
Homo sapiens mRNA; cDNA DKFZp779F1429 (from clone DKFZp779F1429),1
"PREDICTED: Ictidomys tridecemlineatus thioredoxin interacting protein (LOC101976134), mRNA",1
"Phyllobacterium sp. 628 plasmid p_2, complete sequence",1
"TPA_exp: Homo sapiens RNA binding motif protein 15 isoform L2 (RBM15) mRNA, complete cds",1
"Uncultured bacterium clone F5K2Q4C04IXBHN 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium partial 16S rRNA gene, clone B013H_D05",1
"Synthetic construct Homo sapiens clone ccsbBroadEn_08550 ZNF280C gene, encodes complete protein",1
