qseqid,frequency
"hypothetical protein G939_04501, partial [Escherichia coli UMEA 3201-1]",1
hypothetical protein GCM10011282_35980 [Undibacterium macrobrachii],1
MAG: hypothetical protein CBARDMAM_5813 [uncultured Caballeronia sp.],3
hypothetical protein WHE01_17600 [Weissella hellenica],2
50S ribosomal protein L7/L12 [Weissella cibaria],1
"hypothetical protein Lal_00014582, partial [Lupinus albus]",1
"hypothetical protein, partial [bacterium]",1
"hCG2039566, isoform CRA_b [Homo sapiens]",1
hypothetical protein D5086_0000172010 [Populus alba],1
unnamed protein product [Anisakis simplex],3
putative serine acetyltransferase [Burkholderia mallei],4
hypothetical protein AL505_130035 [Escherichia coli],1
MAG: hypothetical protein CFR70_13740 [Rhodocyclaceae bacterium],1
"Uncharacterized protein APZ42_007388, partial [Daphnia magna]",5
Uncharacterised protein [Enterobacter cloacae],3
"hypothetical protein CBF86_07615, partial [Limosilactobacillus reuteri]",2
hypothetical protein AVP43_02707 [Geobacillus stearothermophilus],1
"hypothetical protein AZZ88_001851, partial [Escherichia coli]",2
"GTP-binding protein, partial [Acinetobacter baumannii]",1
Cell wall-associated hydrolase [Burkholderia cenocepacia],4
hypothetical protein EQ835_09965 [Latilactobacillus sakei],2
identified by metageneannotator [Pragia fontium],1
hypothetical protein Absy_048_002 [Acetobacter syzygii],4
hypothetical protein WEIDD23_02117 [Weissella sp. DD23],3
hypothetical protein Csp_D29550 [Curvibacter putative symbiont of Hydra magnipapillata],1
hypothetical protein DP49_5733 [Burkholderia pseudomallei],3
"MAG: N-acetyl-gamma-glutamyl-phosphate reductase, partial [Polynucleobacter sp. 35-46-11]",1
cell wall-associated hydrolase [Vibrio cholerae CP1046(19)],1
hypothetical protein N47_G38890 [uncultured Desulfobacterium sp.],2
"Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome {ECO:0000313|EMBL:CCI75589.1} [Pantoea ananatis]",1
hypothetical protein [Chromobacterium sp. ASV5],2
hypothetical protein CF60_26395 [Escherichia coli],2
hypothetical protein HMPREF9348_05085 [Escherichia coli MS 145-7],1
hypothetical protein PROSTU_01098 [Providencia stuartii ATCC 25827],2
hypothetical protein PJE062_955 [Pseudovibrio sp. JE062],1
hypothetical protein WEIDD23_02092 [Weissella sp. DD23],8
"hypothetical protein N665_3923s0001, partial [Sinapis alba]",1
hypothetical protein MG293_017184 [Ovis ammon polii],1
Uncharacterised protein [Weissella viridescens],1
"Uncharacterized protein APZ42_008836, partial [Daphnia magna]",2
hypothetical protein [uncultured Sphingobacteriales bacterium HF0010_19H17],1
hypothetical protein AWRIB568_488 [Oenococcus oeni AWRIB568],1
"hypothetical protein CHT98_33420, partial [Azospirillum brasilense]",1
hypothetical protein BMR07_14280 [Methylococcaceae bacterium CS1],1
histone deacetylase [Novimethylophilus kurashikiensis],2
hypothetical protein HZU73_07181 [Apis mellifera caucasica],1
unnamed protein product [Allacma fusca],2
Uncharacterized protein {ECO:0000313|EMBL:EEH89636.1} [Pantoea ananatis],1
"hypothetical protein ESOG_03735, partial [Escherichia coli E101]",1
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Acinetobacter sp. WCHA29],1
hypothetical protein KY49_7052 [Burkholderia sp. MSHR3999],2
hypothetical protein SPHINGOAX6_40142 [Sphingomonas sp. AX6],1
"Hypothetical predicted protein, partial [Lynx pardinus]",1
putative uncharacterized protein [Azospirillum sp. CAG:260],1
hypothetical protein BB14905_20880 [Bacillus sp. B14905],1
hypothetical protein [uncultured bacterium],2
MAG: hypothetical protein E5W30_00835 [Mesorhizobium sp.],6
hypothetical protein F01_190074 [Burkholderia cenocepacia],1
hypothetical protein Csp_D29610 [Curvibacter putative symbiont of Hydra magnipapillata],2
hypothetical protein Lal_00001024 [Lupinus albus],4
"alpha-1-B glycoprotein, partial [Homo sapiens]",1
hypothetical protein AB03_3268 [Escherichia coli 2-316-03_S1_C1],1
hypothetical protein ECDEC6D_0252 [Escherichia coli DEC6D],1
Ig-like domain-containing protein [Escherichia coli],1
conserved hypothetical protein [Xanthomonas citri pv. citri],3
RNAase [Rickettsia endosymbiont of Proechinophthirus fluctus],3
"AAA family ATPase, partial [Escherichia coli]",1
"hypothetical protein C1646_732304, partial [Rhizophagus diaphanus]",1
hypothetical protein ACN86_01675 [Escherichia coli],1
hypothetical protein KGMB02707_21570 [Mesosutterella multiformis],1
"hypothetical protein L243_10600, partial [Salmonella enterica subsp. enterica serovar Worthington str. BCH-3008]",2
hypothetical protein BD31_I1797 [Candidatus Nitrosopumilus salaria BD31],1
hypothetical protein Y045_6146 [Burkholderia pseudomallei MSHR2451],2
hypothetical protein AAW51_1793 [Caldimonas brevitalea],2
ribokinase [uncultured bacterium A1Q1_fos_4],1
"hypothetical protein CIT14_21690, partial [Virgibacillus profundi]",1
Uncharacterised protein [Bordetella pertussis],1
hypothetical protein AA16663_0647 [Komagataeibacter rhaeticus DSM 16663],1
"hypothetical protein P826_00538, partial [Enterobacter hormaechei]",2
"hypothetical protein BO70DRAFT_303970, partial [Aspergillus heteromorphus CBS 117.55]",1
hypothetical protein IV68_GL001062 [Weissella halotolerans DSM 20190],1
hypothetical protein DSM25558_5494 [Agrobacterium sp. DSM 25558],1
"hypothetical protein BSLA_01f5548, partial [Burkholderia stabilis]",1
hypothetical protein AXD71_14890 [Listeria monocytogenes],1
hypothetical protein [Phaffia rhodozyma],4
"alpha/beta hydrolase, partial [Burkholderia sp. LMG 13014]",1
hypothetical protein Lal_00008501 [Lupinus albus],1
Uncharacterised protein [Actinobacillus pleuropneumoniae],1
conserved hypothetical protein [Agrobacterium tumefaciens str. B6],1
"hypothetical protein WOSG25_580020, partial [Weissella oryzae SG25]",1
Fzo1p [Saccharomyces cerevisiae YJM1450],1
MAG: hypothetical protein FD148_2073 [Methylocystaceae bacterium],1
hypothetical protein GCM10010946_36720 [Undibacterium squillarum],2
"cell wall-associated hydrolase, partial [Phaeodactylum tricornutum]",1
PEP-CTERM system TPR-repeat protein PrsT [Zoogloea sp. 1C4],1
MAG: hypothetical protein CFR70_13735 [Rhodocyclaceae bacterium],2
hypothetical protein BIFADO_00015 [Bifidobacterium adolescentis L2-32],1
"serine acetyltransferase, partial [Vibrio cholerae]",1
"hypothetical protein BSF34_21680, partial [Escherichia coli]",1
LOW QUALITY PROTEIN: identified by MetaGeneAnnotator [Elysia marginata],1
conserved hypothetical protein [Brucella suis bv. 4 str. 40],1
hypothetical protein KLMA_50540 [uncultured bacterium],2
hypothetical protein SRAA_2358 [Serpentinimonas raichei],4
hypothetical protein KY49_7050 [Burkholderia sp. MSHR3999],2
hypothetical protein Lal_00037292 [Lupinus albus],1
hypothetical protein DSM25559_5477 [Agrobacterium rosae],1
hypothetical protein SIAM614_02721 [Stappia aggregata IAM 12614],1
bridging integrator 3 [Homo sapiens],1
hypothetical protein B9W48_18620 [Acinetobacter baumannii],2
hypothetical protein APECO1_1785 [Escherichia coli APEC O1],1
"hypothetical protein AZZ96_004950, partial [Klebsiella pneumoniae]",1
"hypothetical protein EGK_10551, partial [Macaca mulatta]",1
"voltage-gated potassium channel protein, partial [Escherichia coli]",1
conserved hypothetical protein [Burkholderiales bacterium 8X],1
"hypothetical protein, partial [Longicatena sp. 210702-DFI.1.100]",4
conserved hypothetical protein [Burkholderia cenocepacia],1
"RNA-dependent RNA polymerase, partial [Picobirnavirus sp.]",1
hypothetical protein G6F32_010774 [Rhizopus arrhizus],2
hypothetical protein Csp_D29600 [Curvibacter putative symbiont of Hydra magnipapillata],1
hypothetical protein Csp_D29560 [Curvibacter putative symbiont of Hydra magnipapillata],1
unnamed protein product [Enterobius vermicularis],1
"MetaGeneMark_Unknown Function, partial [uncultured bacterium]",1
hypothetical protein ECSTECB2F1_4404 [Escherichia coli O91:H21 str. B2F1],2
"hypothetical protein CSV68_16650, partial [Sporosarcina sp. P29]",1
hypothetical protein TcBrA4_0018640 [Trypanosoma cruzi],1
hypothetical protein Lal_00009579 [Lupinus albus],1
unnamed protein product [Macaca fascicularis],1
hypothetical protein SLEP1_g59979 [Rubroshorea leprosula],2
hypothetical protein [uncultured beta proteobacterium HF0010_04H24],1
hypothetical protein ALP58_03924 [Pseudomonas savastanoi],1
"hypothetical protein, partial [Proteus mirabilis]",1
protein of unknown function [Latilactobacillus sakei],1
Uncharacterized protein {ECO:0000313|EMBL:EUL48856.1} [Pantoea ananatis],2
hypothetical protein B972_03201 [Brucella abortus F10/05-11],1
hypothetical protein CC80DRAFT_57283 [Byssothecium circinans],1
Cell wall-associated hydrolase [Burkholderia multivorans],1
hypothetical protein CF005_11345 [Escherichia coli],1
"hypothetical protein, partial [Acinetobacter baumannii]",1
"hypothetical protein KUM_1451, partial [Taylorella asinigenitalis 14/45]",2
hypothetical protein KY49_7053 [Burkholderia sp. MSHR3999],1
hypothetical protein SMATCC274_39220 [Serratia marcescens],1
hypothetical protein ES319_D03G086800v1 [Gossypium barbadense],1
hypothetical protein DSM25559_5471 [Agrobacterium rosae],1
hypothetical protein BMR85_025785 [Achromobacter sp. KAs 3-5],1
hypothetical protein EMGBS12_06750 [Methylophilaceae bacterium],1
putative protein without homology [Lactobacillus crispatus ST1],1
Uncharacterized protein APZ42_003108 [Daphnia magna],1
MAG: hypothetical protein B6245_13290 [Desulfobacteraceae bacterium 4572_88],1
hypothetical protein F01_140134 [Burkholderia cenocepacia],1
conserved hypothetical protein [Thiomonas sp. CB2],6
"putative senescence-associated protein, partial [Mytilus edulis]",1
"hypothetical protein BVRB_017580, partial [Beta vulgaris subsp. vulgaris]",1
hypothetical protein CTZ27_38985 [Streptomyces griseocarneus],1
hypothetical protein OIDMADRAFT_46664 [Oidiodendron maius Zn],1
hypothetical protein [Weissella confusa],1
"hypothetical protein, partial [Hafnia paralvei]",1
hCG2045339 [Homo sapiens],1
hypothetical protein Lal_00014815 [Lupinus albus],2
"hypothetical protein AZ037_005356, partial [Klebsiella michiganensis]",1
"hypothetical protein EA95_02947, partial [Enterococcus faecium]",2
"hypothetical protein BVRB_042430, partial [Beta vulgaris subsp. vulgaris]",1
hypothetical protein GCM10007392_49170 [Saccharospirillum salsuginis],1
hypothetical protein [Flavobacterium sp. ZT3R18],1
hypothetical protein CBM2587_A90042 [Cupriavidus taiwanensis],1
hypothetical protein Lal_00041211 [Lupinus albus],1
hypothetical protein Lal_00030835 [Lupinus albus],1
hypothetical protein GCM10010985_61530 [Caballeronia grimmiae],1
hypothetical protein L6164_037454 [Bauhinia variegata],2
"hypothetical protein C0J08_21435, partial [Marinomonas sp. CT5]",1
hypothetical protein CKA32_002589 [Geitlerinema sp. FC II],1
hypothetical protein U2A4042190011 [Corynebacterium striatum],1
hypothetical protein cco8_04560 [Campylobacter coli 151-9],1
hypothetical protein CE205_22055 [Achromobacter insolitus],1
MULTISPECIES: 50S ribosomal protein L7/L12 [Corynebacterium],1
"hypothetical protein AZ007_003353, partial [Citrobacter freundii]",1
Uncharacterised protein [Mycobacterium tuberculosis],1
uncharacterized protein LOC112206048 isoform X1 [Pan troglodytes],1
hypothetical protein FAEPRAM212_01167 [Faecalibacterium prausnitzii M21/2],1
"hypothetical protein GWI33_013314, partial [Rhynchophorus ferrugineus]",1
"MAG: DNA primase, partial [Sphingomonas sp.]",1
hypothetical protein BN2475_1150021 [Paraburkholderia ribeironis],1
"hypothetical protein GBB87_10690, partial [Bifidobacterium longum]",1
hypothetical protein CS400_13905 [Lactiplantibacillus plantarum],1
hypothetical protein CTZ27_38730 [Streptomyces griseocarneus],1
"hypothetical protein BCV69DRAFT_253980, partial [Pseudomicrostroma glucosiphilum]",1
hypothetical protein A8F38_29435 [Burkholderia cenocepacia],1
hypothetical protein MTR_3g028290 [Medicago truncatula],1
cell wall-associated hydrolase [uncultured bacterium A1Q1_fos_4],1
"hypothetical protein BKA90DRAFT_91477, partial [Yarrowia lipolytica]",1
type III-E CRISPR-associated gRAMP effector Cas7-11 [Desulfonema ishimotonii],1
hypothetical protein BSQ39_10860 [Loigolactobacillus backii],1
"unnamed protein product, partial [Onchocerca ochengi]",1
LLM class flavin-dependent oxidoreductase [Phyllobacterium sp. 628],1
hypothetical protein Lal_00046461 [Lupinus albus],1
hypothetical protein XCCB100_2031 [Xanthomonas campestris pv. campestris],1
conserved hypothetical protein [Xenorhabdus szentirmaii DSM 16338],1
hypothetical protein LASAK_01637 [Latilactobacillus sakei],1
Uncharacterized protein BN1224_Wien1_A_09130 [Chlamydia pneumoniae],1
oxygen-independent coproporphyrinogen III oxidase [Herbaspirillum huttiense],1
peptidylprolyl isomerase -like 3 isoform 2 [Homo sapiens],1
hypothetical protein B566_EDAN011677 [Ephemera danica],1
"hypothetical protein AZZ99_003607, partial [Serratia marcescens]",1
hypothetical protein VARIO8X_60339 [Burkholderiales bacterium 8X],1
hypothetical protein NT26_3367 [Pseudorhizobium banfieldiae],1
unnamed protein product [Klebsiella pneumoniae],1
"hypothetical protein BVRB_039480, partial [Beta vulgaris subsp. vulgaris]",1
hypothetical protein BN1182_AM_00790 [Pantoea ananatis],1
"LOW QUALITY PROTEIN: hypothetical protein HMPREF0996_01738, partial [Lachnospiraceae bacterium 5_1_63FAA]",1
"hypothetical protein ALP74_02067, partial [Pseudomonas coronafaciens pv. garcae]",1
conserved hypothetical protein [Bathymodiolus azoricus thioautotrophic gill symbiont],1
hypothetical protein VITFI_CDS0589 [Vitreoscilla filiformis],1
hypothetical protein BN164_2010001 [Clostridioides difficile T20],1
"unnamed protein product, partial [Nymphaea colorata]",1
unnamed protein product [Sepia pharaonis],1
hypothetical protein SKA34_17698 [Photobacterium sp. SKA34],1
"hypothetical protein SMU86_10552, partial [Streptococcus mutans U2A]",1
conserved protein of unknown function [Magnetospirillum sp. XM-1],1
"nitric oxide reductase, partial [uncultured prokaryote]",1
hypothetical protein AWZ96_16010 [Shigella sonnei],1
hypothetical protein LPLWJ_34070 [Lactiplantibacillus plantarum WJL],1
conserved hypothetical protein [Rickettsia typhi str. Wilmington],1
Quinone oxidoreductase [Escherichia coli O25b:H4],1
hypothetical protein FNP_0150 [Fusobacterium polymorphum ATCC 10953],1
hypothetical protein 5G12_012 [uncultured bacterium 5G12],1
hypothetical protein GCM10007971_38770 [Oceanobacillus indicireducens],2
Putative uncharacterized protein [Paenibacillus sp. P22],1
Uncharacterised protein [Collinsella intestinalis],1
"hypothetical protein SMU94_09644, partial [Streptococcus mutans 66-2A]",1
GekBS107P [Gekko japonicus],1
hypothetical protein NT26_3368 [Pseudorhizobium banfieldiae],1
hypothetical protein EW35_3253 [Staphylococcus aureus],1
"hypothetical protein SOVF_215730, partial [Spinacia oleracea]",1
hypothetical protein BUV99_11835 [Corynebacterium diphtheriae],1
"hypothetical protein J496_3968, partial [Acinetobacter baumannii 1247182]",1
"putative protein, partial [uncultured bacterium]",1
MULTISPECIES: GNAT family N-acetyltransferase [unclassified Phyllobacterium],1
hypothetical protein ECOK1357_4217 [Escherichia coli OK1357],1
"hypothetical protein J6590_107792, partial [Homalodisca vitripennis]",1
"hCG2042056, partial [Homo sapiens]",1
hypothetical protein A8B94_11145 [Bordetella pertussis],1
hypothetical protein HMPREF0513_01843 [Limosilactobacillus fermentum 28-3-CHN],1
hypothetical protein FD35_GL002115 [Furfurilactobacillus rossiae DSM 15814],1
MAG: hypothetical protein AUK64_2223 [bacterium P201],1
